cluster_id,members,size
21,"['DMA|DMA_EMA_P14_SHIFT5_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|12H|UP', 'DMA|DMA_EMA_P14_SHIFT5_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|12H|UP', 'DMA|DMA_EMA_P14_SHIFT8_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|12H|UP', 'DMA|DMA_EMA_P14_SHIFT8_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|12H|UP']",4
22,"['DMA|DMA_EMA_P14_SHIFT5_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|15m|DOWN', 'DMA|DMA_EMA_P14_SHIFT5_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|15m|DOWN', 'DMA|DMA_EMA_P14_SHIFT8_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|15m|DOWN', 'DMA|DMA_EMA_P14_SHIFT8_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|15m|DOWN']",4
23,"['DMA|DMA_EMA_P14_SHIFT5_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|15m|UP', 'DMA|DMA_EMA_P14_SHIFT5_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|15m|UP', 'DMA|DMA_EMA_P14_SHIFT8_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|15m|UP', 'DMA|DMA_EMA_P14_SHIFT8_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|15m|UP']",4
24,"['DMA|DMA_EMA_P14_SHIFT5_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|1D|DOWN', 'DMA|DMA_EMA_P14_SHIFT5_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|1D|DOWN', 'DMA|DMA_EMA_P14_SHIFT8_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|1D|DOWN', 'DMA|DMA_EMA_P14_SHIFT8_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|1D|DOWN']",4
25,"['DMA|DMA_EMA_P14_SHIFT5_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|1D|UP', 'DMA|DMA_EMA_P14_SHIFT5_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|1D|UP', 'DMA|DMA_EMA_P14_SHIFT8_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|1D|UP', 'DMA|DMA_EMA_P14_SHIFT8_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|1D|UP']",4
26,"['DMA|DMA_EMA_P14_SHIFT5_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|1H|DOWN', 'DMA|DMA_EMA_P14_SHIFT5_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|1H|DOWN', 'DMA|DMA_EMA_P14_SHIFT8_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|1H|DOWN', 'DMA|DMA_EMA_P14_SHIFT8_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|1H|DOWN']",4
27,"['DMA|DMA_EMA_P14_SHIFT5_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|1H|UP', 'DMA|DMA_EMA_P14_SHIFT5_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|1H|UP', 'DMA|DMA_EMA_P14_SHIFT8_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|1H|UP', 'DMA|DMA_EMA_P14_SHIFT8_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|1H|UP']",4
28,"['DMA|DMA_EMA_P14_SHIFT5_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|2H|DOWN', 'DMA|DMA_EMA_P14_SHIFT5_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|2H|DOWN', 'DMA|DMA_EMA_P14_SHIFT8_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|2H|DOWN', 'DMA|DMA_EMA_P14_SHIFT8_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|2H|DOWN']",4
29,"['DMA|DMA_EMA_P14_SHIFT5_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|2H|UP', 'DMA|DMA_EMA_P14_SHIFT5_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|2H|UP', 'DMA|DMA_EMA_P14_SHIFT8_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|2H|UP', 'DMA|DMA_EMA_P14_SHIFT8_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|2H|UP']",4
30,"['DMA|DMA_EMA_P14_SHIFT5_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|30m|DOWN', 'DMA|DMA_EMA_P14_SHIFT5_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|30m|DOWN', 'DMA|DMA_EMA_P14_SHIFT8_V1|MA_SLOPE_TURN_UP|MA_SLOPE_TURN_DOWN|30m|DOWN', 'DMA|DMA_EMA_P14_SHIFT8_V1|PRICE_CROSS_UP_MA|PRICE_CROSS_DOWN_MA|30m|DOWN']",4
