timeframe,split,direction,horizon,event_semantics,comparison_scope,dynamic_event_count,dynamic_reversal_rate,dynamic_absolute_lift,shared_base_rate,dynamic_minus_quantile_lift,dynamic_minus_quantile_reversal_rate,vs_quantile_class,dynamic_minus_atr_lift,dynamic_minus_atr_reversal_rate,vs_atr_class
12H,DISCOVERY,OB,1,FORECAST_REALIZATION,COMMON_ELIGIBILITY,226,0.4557522123893805,-0.01957015310639537,0.4753223654957759,0.0050479870372678315,0.0050479870372678315,SIMILAR,0.009598366235534339,0.009598366235534339,SIMILAR
12H,DISCOVERY,OB,3,FORECAST_REALIZATION,COMMON_ELIGIBILITY,226,0.4646017699115044,-0.006693290168602373,0.4712950600801068,-0.009576633844364135,-0.009576633844364135,SIMILAR,0.026140231449965967,0.026140231449965967,BETTER
12H,DISCOVERY,OB,5,FORECAST_REALIZATION,COMMON_ELIGIBILITY,226,0.49557522123893805,0.040341368232256536,0.4552338530066815,-0.025551539324442207,-0.025551539324442207,WORSE,0.08019060585432264,0.08019060585432264,BETTER
12H,DISCOVERY,OB,10,FORECAST_REALIZATION,COMMON_ELIGIBILITY,225,0.44,-0.0037499999999999756,0.44375,-0.00811320754716982,-0.00811320754716982,SIMILAR,-0.009612403100775213,-0.009612403100775213,SIMILAR
12H,DISCOVERY,OS,1,FORECAST_REALIZATION,COMMON_ELIGIBILITY,158,0.5379746835443038,0.013297049040079667,0.5246776345042241,-0.0043138736696265445,-0.0043138736696265445,SIMILAR,-0.04097268487674888,-0.04097268487674888,WORSE
12H,DISCOVERY,OS,3,FORECAST_REALIZATION,COMMON_ELIGIBILITY,158,0.5189873417721519,-0.009272560319525947,0.5282599020916778,-0.023301215441778433,-0.023301215441778433,WORSE,-0.06747882364138191,-0.06747882364138191,WORSE
12H,DISCOVERY,OS,5,FORECAST_REALIZATION,COMMON_ELIGIBILITY,158,0.5443037974683544,-1.6915226523028792e-05,0.5443207126948775,-0.04276087914856097,-0.04276087914856097,WORSE,-0.012087179975254547,-0.012087179975254547,WORSE
12H,DISCOVERY,OS,10,FORECAST_REALIZATION,COMMON_ELIGIBILITY,158,0.5822784810126582,0.026474909584086825,0.5558035714285714,0.0399899237987279,0.0399899237987279,BETTER,-0.008630609896432717,-0.008630609896432717,SIMILAR
12H,VALIDATION,OB,1,FORECAST_REALIZATION,COMMON_ELIGIBILITY,58,0.46551724137931033,-0.055177017632705716,0.520694259012016,-0.012743628185907074,-0.012743628185907074,WORSE,0.20551724137931032,0.20551724137931032,BETTER
12H,VALIDATION,OB,3,FORECAST_REALIZATION,COMMON_ELIGIBILITY,58,0.5172413793103449,0.013894659096154727,0.5033467202141901,0.05347326336831587,0.05347326336831587,BETTER,0.09724137931034488,0.09724137931034488,BETTER
12H,VALIDATION,OB,5,FORECAST_REALIZATION,COMMON_ELIGIBILITY,58,0.4482758620689655,-0.042999305716269365,0.4912751677852349,0.05697151424287855,0.05697151424287855,BETTER,0.1082758620689655,0.1082758620689655,BETTER
12H,VALIDATION,OB,10,FORECAST_REALIZATION,COMMON_ELIGIBILITY,57,0.5789473684210527,0.11543385490753916,0.4635135135135135,0.049535603715170295,0.049535603715170295,BETTER,0.1707841031149302,0.1707841031149302,BETTER
