timeframe,split,direction,control_id,comparison_scope,denominator_label,denominator_count,event_count,events_per_1000
1H,DISCOVERY,OB,ATR_1X_PRICE_BAND_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,26718,1363,51.014297477356095
1H,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,26682,2491,93.35881867925943
1H,DISCOVERY,OB,PROJECT_DYNAMIC_EXTREMA_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,26057,2145,82.31953026058257
1H,DISCOVERY,OS,ATR_1X_PRICE_BAND_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,26718,1302,48.73119245452504
1H,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,26682,2542,95.27021962371636
1H,DISCOVERY,OS,PROJECT_DYNAMIC_EXTREMA_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,26057,2047,78.55854472886364
1H,VALIDATION,OB,ATR_1X_PRICE_BAND_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,8988,438,48.73164218958612
1H,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,8986,793,88.24838637881147
1H,VALIDATION,OB,PROJECT_DYNAMIC_EXTREMA_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,8949,661,73.86300145267629
1H,VALIDATION,OS,ATR_1X_PRICE_BAND_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,8988,458,50.95683133066311
1H,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,8986,819,91.14177609614957
1H,VALIDATION,OS,PROJECT_DYNAMIC_EXTREMA_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,8949,692,77.32707565091073
2H,DISCOVERY,OB,ATR_1X_PRICE_BAND_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,13340,723,54.19790104947526
2H,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,13318,1226,92.05586424388046
2H,DISCOVERY,OB,PROJECT_DYNAMIC_EXTREMA_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,12921,1082,83.73964863400666
2H,DISCOVERY,OS,ATR_1X_PRICE_BAND_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,13340,691,51.79910044977511
2H,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,13318,1284,96.41087250337888
