timeframe,split,direction,horizon,base_rates,identical
4H,DISCOVERY,OS,5,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5322997416020672, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5322997416020672, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5322997416020672}",True
4H,DISCOVERY,OS,10,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5371159111651962, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5371159111651962, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5371159111651962}",True
4H,VALIDATION,OB,1,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5006669630947087, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5006669630947087, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5006669630947087}",True
4H,VALIDATION,OB,3,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5122385402759234, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5122385402759234, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5122385402759234}",True
4H,VALIDATION,OB,5,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5086859688195992, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5086859688195992, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5086859688195992}",True
4H,VALIDATION,OB,10,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5008928571428571, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5008928571428571, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5008928571428571}",True
4H,VALIDATION,OS,1,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.49933303690529124, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.49933303690529124, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.49933303690529124}",True
4H,VALIDATION,OS,3,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.48776145972407653, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.48776145972407653, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.48776145972407653}",True
4H,VALIDATION,OS,5,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.4908685968819599, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.4908685968819599, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.4908685968819599}",True
4H,VALIDATION,OS,10,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.49910714285714286, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.49910714285714286, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.49910714285714286}",True
5m,DISCOVERY,OB,1,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.49527284687250805, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.49527284687250805, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.49527284687250805}",True
5m,DISCOVERY,OB,3,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.4940285771909955, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.4940285771909955, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.4940285771909955}",True
5m,DISCOVERY,OB,5,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.49419609473661347, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.49419609473661347, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.49419609473661347}",True
5m,DISCOVERY,OB,10,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.49197587176288793, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.49197587176288793, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.49197587176288793}",True
5m,DISCOVERY,OS,1,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.49711902745068837, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.49711902745068837, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.49711902745068837}",True
5m,DISCOVERY,OS,3,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5016801898940378, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5016801898940378, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5016801898940378}",True
5m,DISCOVERY,OS,5,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5026358821284399, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5026358821284399, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5026358821284399}",True
5m,DISCOVERY,OS,10,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5056845332290755, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5056845332290755, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5056845332290755}",True
5m,VALIDATION,OB,1,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.49880953483847656, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.49880953483847656, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.49880953483847656}",True
5m,VALIDATION,OB,3,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.4977440962024847, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.4977440962024847, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.4977440962024847}",True
5m,VALIDATION,OB,5,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.4973456738653103, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.4973456738653103, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.4973456738653103}",True
5m,VALIDATION,OB,10,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.49646073453656003, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.49646073453656003, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.49646073453656003}",True
5m,VALIDATION,OS,1,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.4980220676110097, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.4980220676110097, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.4980220676110097}",True
5m,VALIDATION,OS,3,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5004771213370515, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5004771213370515, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5004771213370515}",True
5m,VALIDATION,OS,5,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5011441859603287, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5011441859603287, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5011441859603287}",True
5m,VALIDATION,OS,10,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5025942259941445, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5025942259941445, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5025942259941445}",True
6H,DISCOVERY,OB,1,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.4738856371004052, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.4738856371004052, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.4738856371004052}",True
6H,DISCOVERY,OB,3,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.46959459459459457, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.46959459459459457, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.46959459459459457}",True
6H,DISCOVERY,OB,5,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.4704821991888238, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.4704821991888238, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.4704821991888238}",True
6H,DISCOVERY,OB,10,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.45589893976990753, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.45589893976990753, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.45589893976990753}",True
6H,DISCOVERY,OS,1,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5261143628995948, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5261143628995948, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5261143628995948}",True
6H,DISCOVERY,OS,3,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5301801801801802, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5301801801801802, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5301801801801802}",True
6H,DISCOVERY,OS,5,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5295178008111762, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5295178008111762, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5295178008111762}",True
6H,DISCOVERY,OS,10,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5436498984886081, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5436498984886081, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5436498984886081}",True
6H,VALIDATION,OB,1,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.49666666666666665, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.49666666666666665, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.49666666666666665}",True
6H,VALIDATION,OB,3,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5033377837116155, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5033377837116155, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5033377837116155}",True
6H,VALIDATION,OB,5,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.4979946524064171, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.4979946524064171, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.4979946524064171}",True
6H,VALIDATION,OB,10,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.4922870556673374, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.4922870556673374, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.4922870556673374}",True
6H,VALIDATION,OS,1,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5033333333333333, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5033333333333333, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5033333333333333}",True
6H,VALIDATION,OS,3,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.49666221628838453, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.49666221628838453, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.49666221628838453}",True
6H,VALIDATION,OS,5,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5020053475935828, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5020053475935828, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5020053475935828}",True
6H,VALIDATION,OS,10,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5077129443326627, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5077129443326627, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5077129443326627}",True
8H,DISCOVERY,OB,1,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.48043864848844103, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.48043864848844103, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.48043864848844103}",True
8H,DISCOVERY,OB,3,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.46174377224199287, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.46174377224199287, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.46174377224199287}",True
8H,DISCOVERY,OB,5,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.457566765578635, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.457566765578635, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.457566765578635}",True
8H,DISCOVERY,OB,10,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.45052005943536405, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.45052005943536405, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.45052005943536405}",True
8H,DISCOVERY,OS,1,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.518968583283936, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.518968583283936, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.518968583283936}",True
8H,DISCOVERY,OS,3,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5379596678529063, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5379596678529063, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5379596678529063}",True
8H,DISCOVERY,OS,5,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5421364985163205, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5421364985163205, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5421364985163205}",True
8H,DISCOVERY,OS,10,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.549479940564636, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.549479940564636, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.549479940564636}",True
8H,VALIDATION,OB,1,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.48576512455516013, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.48576512455516013, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.48576512455516013}",True
8H,VALIDATION,OB,3,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5089126559714795, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5089126559714795, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5089126559714795}",True
8H,VALIDATION,OB,5,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5017857142857143, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5017857142857143, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5017857142857143}",True
8H,VALIDATION,OB,10,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.47533632286995514, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.47533632286995514, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.47533632286995514}",True
8H,VALIDATION,OS,1,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5142348754448398, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5142348754448398, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5142348754448398}",True
8H,VALIDATION,OS,3,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.49019607843137253, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.49019607843137253, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.49019607843137253}",True
8H,VALIDATION,OS,5,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.4982142857142857, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.4982142857142857, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.4982142857142857}",True
8H,VALIDATION,OS,10,"{'ATR_1X_PRICE_BAND_CONTROL_V1': 0.5246636771300448, 'CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1': 0.5246636771300448, 'PROJECT_DYNAMIC_EXTREMA_V1': 0.5246636771300448}",True
