timeframe,split,direction,control_id,comparison_scope,denominator_label,denominator_count,event_count,events_per_1000
30m,VALIDATION,OS,ATR_1X_PRICE_BAND_CONTROL_V1,COMMON_ELIGIBILITY,COMMON_ELIGIBLE_BARS,17955,897,49.95822890559732
30m,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,COMMON_ELIGIBILITY,COMMON_ELIGIBLE_BARS,17955,1726,96.12921191868561
30m,VALIDATION,OS,PROJECT_DYNAMIC_EXTREMA_V1,COMMON_ELIGIBILITY,COMMON_ELIGIBLE_BARS,17955,1351,75.24366471734893
4H,DISCOVERY,OB,ATR_1X_PRICE_BAND_CONTROL_V1,COMMON_ELIGIBILITY,COMMON_ELIGIBLE_BARS,6584,397,60.297691373025515
4H,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,COMMON_ELIGIBILITY,COMMON_ELIGIBLE_BARS,6584,632,95.9902794653706
4H,DISCOVERY,OB,PROJECT_DYNAMIC_EXTREMA_V1,COMMON_ELIGIBILITY,COMMON_ELIGIBLE_BARS,6584,605,91.88942891859053
4H,DISCOVERY,OS,ATR_1X_PRICE_BAND_CONTROL_V1,COMMON_ELIGIBILITY,COMMON_ELIGIBLE_BARS,6584,363,55.13365735115432
4H,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,COMMON_ELIGIBILITY,COMMON_ELIGIBLE_BARS,6584,574,87.18104495747265
4H,DISCOVERY,OS,PROJECT_DYNAMIC_EXTREMA_V1,COMMON_ELIGIBILITY,COMMON_ELIGIBLE_BARS,6584,494,75.03037667071689
4H,VALIDATION,OB,ATR_1X_PRICE_BAND_CONTROL_V1,COMMON_ELIGIBILITY,COMMON_ELIGIBLE_BARS,2250,126,56.0
4H,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,COMMON_ELIGIBILITY,COMMON_ELIGIBLE_BARS,2250,197,87.55555555555556
4H,VALIDATION,OB,PROJECT_DYNAMIC_EXTREMA_V1,COMMON_ELIGIBILITY,COMMON_ELIGIBLE_BARS,2250,166,73.77777777777777
4H,VALIDATION,OS,ATR_1X_PRICE_BAND_CONTROL_V1,COMMON_ELIGIBILITY,COMMON_ELIGIBLE_BARS,2250,128,56.88888888888889
4H,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,COMMON_ELIGIBILITY,COMMON_ELIGIBLE_BARS,2250,200,88.88888888888889
4H,VALIDATION,OS,PROJECT_DYNAMIC_EXTREMA_V1,COMMON_ELIGIBILITY,COMMON_ELIGIBLE_BARS,2250,168,74.66666666666667
5m,DISCOVERY,OB,ATR_1X_PRICE_BAND_CONTROL_V1,COMMON_ELIGIBILITY,COMMON_ELIGIBLE_BARS,322288,19043,59.08690363898128
5m,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,COMMON_ELIGIBILITY,COMMON_ELIGIBLE_BARS,322288,32608,101.17658740008936
5m,DISCOVERY,OB,PROJECT_DYNAMIC_EXTREMA_V1,COMMON_ELIGIBILITY,COMMON_ELIGIBLE_BARS,322288,28829,89.45104999255324
5m,DISCOVERY,OS,ATR_1X_PRICE_BAND_CONTROL_V1,COMMON_ELIGIBILITY,COMMON_ELIGIBLE_BARS,322288,18767,58.23052673385295
5m,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,COMMON_ELIGIBILITY,COMMON_ELIGIBLE_BARS,322288,33355,103.49439011070844
5m,DISCOVERY,OS,PROJECT_DYNAMIC_EXTREMA_V1,COMMON_ELIGIBILITY,COMMON_ELIGIBLE_BARS,322288,28807,89.38278806533287
5m,VALIDATION,OB,ATR_1X_PRICE_BAND_CONTROL_V1,COMMON_ELIGIBILITY,COMMON_ELIGIBLE_BARS,107942,6990,64.75699912916195
5m,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,COMMON_ELIGIBILITY,COMMON_ELIGIBLE_BARS,107942,10758,99.66463471123382
5m,VALIDATION,OB,PROJECT_DYNAMIC_EXTREMA_V1,COMMON_ELIGIBILITY,COMMON_ELIGIBLE_BARS,107942,9214,85.3606566489411
5m,VALIDATION,OS,ATR_1X_PRICE_BAND_CONTROL_V1,COMMON_ELIGIBILITY,COMMON_ELIGIBLE_BARS,107942,6916,64.0714457764355
5m,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,COMMON_ELIGIBILITY,COMMON_ELIGIBLE_BARS,107942,10843,100.45209464341961
5m,VALIDATION,OS,PROJECT_DYNAMIC_EXTREMA_V1,COMMON_ELIGIBILITY,COMMON_ELIGIBLE_BARS,107942,9251,85.70343332530433
6H,DISCOVERY,OB,ATR_1X_PRICE_BAND_CONTROL_V1,COMMON_ELIGIBILITY,COMMON_ELIGIBLE_BARS,4443,253,56.94350663965789
6H,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,COMMON_ELIGIBILITY,COMMON_ELIGIBLE_BARS,4443,446,100.3826243529147
6H,DISCOVERY,OB,PROJECT_DYNAMIC_EXTREMA_V1,COMMON_ELIGIBILITY,COMMON_ELIGIBLE_BARS,4443,419,94.30564933603421
6H,DISCOVERY,OS,ATR_1X_PRICE_BAND_CONTROL_V1,COMMON_ELIGIBILITY,COMMON_ELIGIBLE_BARS,4443,233,52.44204366419086
6H,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,COMMON_ELIGIBILITY,COMMON_ELIGIBLE_BARS,4443,378,85.0776502363268
6H,DISCOVERY,OS,PROJECT_DYNAMIC_EXTREMA_V1,COMMON_ELIGIBILITY,COMMON_ELIGIBLE_BARS,4443,323,72.69862705379249
6H,VALIDATION,OB,ATR_1X_PRICE_BAND_CONTROL_V1,COMMON_ELIGIBILITY,COMMON_ELIGIBLE_BARS,1501,82,54.63024650233178
6H,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,COMMON_ELIGIBILITY,COMMON_ELIGIBLE_BARS,1501,124,82.6115922718188
6H,VALIDATION,OB,PROJECT_DYNAMIC_EXTREMA_V1,COMMON_ELIGIBILITY,COMMON_ELIGIBLE_BARS,1501,128,85.27648234510326
6H,VALIDATION,OS,ATR_1X_PRICE_BAND_CONTROL_V1,COMMON_ELIGIBILITY,COMMON_ELIGIBLE_BARS,1501,83,55.2964690206529
