timeframe,split,direction,control_id,event_semantics,comparison_scope,horizon,event_count,base_sample_count,sample_flag,reversal_rate,reversal_wilson_lo,reversal_wilson_hi,base_rate,absolute_lift,relative_lift,forward_return_mean,forward_return_median,forward_return_mean_ci_lo,forward_return_mean_ci_hi,mfe_pct_mean,mfe_pct_median,mfe_pct_mean_ci_lo,mfe_pct_mean_ci_hi,mae_pct_mean,mae_pct_median,mae_pct_mean_ci_lo,mae_pct_mean_ci_hi,mfe_atr_mean,mfe_atr_median,mfe_atr_mean_ci_lo,mfe_atr_mean_ci_hi,mae_atr_mean,mae_atr_median,mae_atr_mean_ci_lo,mae_atr_mean_ci_hi
6H,DISCOVERY,OB,PROJECT_DYNAMIC_EXTREMA_V1,FORECAST_REALIZATION,COMMON_ELIGIBILITY,3,419,4440,N_GE_100,0.4343675417661098,0.38771427886209897,0.48221337253265495,0.46959459459459457,-0.03522705282848476,-0.07501588228224099,0.004178888622117324,0.0046298193141312005,0.0006243029891222199,0.008237929434224085,2.8901694835727407,2.0726170761657077,2.6171550025591923,3.1585489516559884,3.188308403757119,2.3653596396695136,2.9173857780979695,3.4540627321804553,0.8929872960414406,0.6695798366283209,0.8109767754389154,0.9764066152396872,1.0204550616621495,0.788149995427134,0.9326220325718733,1.124537759723899
6H,DISCOVERY,OB,PROJECT_DYNAMIC_EXTREMA_V1,FORECAST_REALIZATION,COMMON_ELIGIBILITY,5,419,4438,N_GE_100,0.49403341288782815,0.44643282846355686,0.5417424125723298,0.4704821991888238,0.02355121369900437,0.0500576084272899,0.005054730398780203,0.0008398894634986664,0.000273195554759634,0.009625707947983973,3.76914650233654,2.787816210634991,3.4362162014363773,4.123444731464433,4.18880568407462,3.2514855925552255,3.836804288416349,4.543522588324906,1.168901980925604,0.8610305644285992,1.0543828518027436,1.2917269259232962,1.341074596793238,1.0012534369644015,1.2276080516429486,1.4736621180820635
6H,DISCOVERY,OB,PROJECT_DYNAMIC_EXTREMA_V1,FORECAST_REALIZATION,COMMON_ELIGIBILITY,10,419,4433,N_GE_100,0.477326968973747,0.42992338184708534,0.525142534089284,0.45589893976990753,0.02142802920383946,0.04700170878803589,0.008933885408911874,0.00491597978640379,0.0011532852901066947,0.016778628172283462,5.3593059753178505,3.812947818821683,4.891958995083618,5.856562280494905,6.133326725459312,4.336695151281797,5.602862118292102,6.725865165079322,1.6303869932193902,1.2034512980865393,1.4913230229803094,1.7752397295874716,1.9985299176422229,1.327695808605476,1.8069704758827068,2.2139406697386605
6H,DISCOVERY,OS,ATR_1X_PRICE_BAND_CONTROL_V1,FORECAST_REALIZATION,COMMON_ELIGIBILITY,1,233,4442,N_GE_100,0.5021459227467812,0.4384325682768475,0.5657896629528014,0.5261143628995948,-0.02396844015281363,-0.04555747161266499,-0.0025126025693523834,0.00039393730487780054,-0.006908051798697748,0.0017032652424070647,2.136416570639915,1.5061801495078058,1.8385912595282556,2.5185496389756374,2.919201081467606,1.7704074904391416,2.4698097260725995,3.451396653335114,0.5290268279225828,0.4337532130988363,0.47519363798115277,0.5834200367019355,0.7662098962769087,0.5229619120667702,0.6570605826277023,0.8814066669151516
6H,DISCOVERY,OS,ATR_1X_PRICE_BAND_CONTROL_V1,FORECAST_REALIZATION,COMMON_ELIGIBILITY,3,233,4440,N_GE_100,0.5278969957081545,0.4638629613688173,0.5910260446166178,0.5301801801801802,-0.00228318447202569,-0.004306431204670336,-0.005180180730739667,0.0008221102823573467,-0.012853586630651934,0.0016185307142064357,3.2143597766363246,2.3202234369736026,2.823423532746297,3.6519793382171835,4.862453361004739,3.04088768777359,4.18402401861042,5.751308376423907,0.8318926905105535,0.6785822747629421,0.7500123934232712,0.9271392582827499,1.2727803731497287,0.8917384137737108,1.1070669187716793,1.4368210103823644
6H,DISCOVERY,OS,ATR_1X_PRICE_BAND_CONTROL_V1,FORECAST_REALIZATION,COMMON_ELIGIBILITY,5,233,4438,N_GE_100,0.5579399141630901,0.4937430067230032,0.6202572364775155,0.5295178008111762,0.028422113351913914,0.05367546342799745,0.00045560832118037134,0.0063083887123183136,-0.008375563114789805,0.008039355018392829,4.045428287812699,2.978809487685235,3.6209220025125513,4.559213493863449,5.720869726146536,3.61605748203686,4.887146567514832,6.691241461125449,1.0716139720613895,0.8889127879408341,0.9697501128049592,1.1903893975488131,1.5303049076113062,1.0112128148405846,1.3194104836959666,1.7522373530020137
6H,DISCOVERY,OS,ATR_1X_PRICE_BAND_CONTROL_V1,FORECAST_REALIZATION,COMMON_ELIGIBILITY,10,233,4433,N_GE_100,0.5407725321888412,0.4766407002730665,0.6035816930902617,0.5436498984886081,-0.0028773662997668703,-0.00529268249247572,0.00016156507634860307,0.005864708779155681,-0.009332955653088166,0.009771721063572178,5.449341293356612,4.1698201607380945,4.870426584865302,6.0657392337950515,7.270117498322862,4.611092878240885,6.276916183519648,8.343049635010182,1.4959048062775906,1.1310107418020088,1.3428726301643457,1.672261467623091,1.9419574461844633,1.3709144816691863,1.7110215207772852,2.184704216751876
6H,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,FORECAST_REALIZATION,COMMON_ELIGIBILITY,1,378,4442,N_GE_100,0.5793650793650794,0.5290444327290308,0.6280887869096886,0.5261143628995948,0.05325071646548463,0.10121509736400625,2.9173791866666216e-05,0.0028695331134855895,-0.0028777664235928595,0.0026709032508981643,1.8191770567782923,1.348963568013588,1.6557747705207735,1.9971553652621192,2.262460685691114,1.3289806344283874,1.9577520261503762,2.6016509453883527,0.48787728076846937,0.4255914646143715,0.45338559583170196,0.5266069242865694,0.6091148178671276,0.4120865672453783,0.5437634242564425,0.6835791888321667
6H,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,FORECAST_REALIZATION,COMMON_ELIGIBILITY,3,378,4440,N_GE_100,0.5608465608465608,0.5104518137543074,0.6100169879687106,0.5301801801801802,0.03066638066638061,0.05784143167320721,-0.0009670064390993907,0.003389444706751732,-0.0059979589704197474,0.003892278808949995,3.030650761606369,2.1761070564519773,2.745444453578771,3.303310347915956,3.9686401231365163,2.3045180342316223,3.447539442457816,4.496677885005095,0.8294274758247725,0.6705490873158835,0.7665581590619406,0.8953147356968122,1.0758132001354115,0.69992563671082,0.9522125212457621,1.1968533559132668
6H,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,FORECAST_REALIZATION,COMMON_ELIGIBILITY,5,378,4438,N_GE_100,0.5582010582010583,0.5078014332140779,0.6074295945209831,0.5295178008111762,0.02868325738988209,0.05416863672182837,0.0034214177054543273,0.006168882782845553,-0.003283842221423107,0.009300457170798714,4.052238305327214,2.792092773902665,3.677032477970255,4.422044507674115,4.899261803768892,2.777094423594396,4.317954270586667,5.55930610840394,1.0903913826412617,0.8278031058381196,1.0079410866147023,1.1854265494646956,1.343671773449497,0.8468426561106539,1.200733589235302,1.495369627227318
