candidate_id,family,role,decision_tf,partition,source_wave_tf,pivot_type,n_events,TOTAL_SIGNALS,MATCHED_POST_C_SIGNALS,PRE_C_WARNING_SIGNALS,UNMATCHED_SIGNALS,FALSE_POSITIVE_RATE,PRECISION,EVENT_RECALL,SIGNALS_PER_YEAR,FALSE_SIGNALS_PER_YEAR,MEDIAN_DELAY_SECONDS,P75_DELAY_SECONDS,P90_DELAY_SECONDS,MEDIAN_PRICE_DISTANCE_FROM_C_PCT,MEDIAN_PRICE_DISTANCE_FROM_C_ATR,MEDIAN_REMAINING_WAVE_FRACTION,MEDIAN_MAE_AFTER_SIGNAL,P90_MAE_AFTER_SIGNAL,MEDIAN_MFE_AFTER_SIGNAL,MFE_MAE_RATIO,PRE_C_SIGNAL_RATE,MEDIAN_PRE_C_LEAD,MEDIAN_ADVERSE_EXTENSION_AFTER_PRE_C,SCANNED_TIME_FROM,SCANNED_TIME_TO,VALID_DECISION_BARS,YEARS_COVERED
IND_SMA_CROSS_10_50_V1_MA_CROSS_UP_1H,MA/DMI,DIRECTIONAL_TRIGGER,1H,VALIDATION,ALL,ALL,2076,271,197,55,12,0.04428044280442804,0.7269372693726938,0.09489402697495183,263.9090377194997,11.686009050309949,35999.999999,50399.999999,67319.99999900002,2.8589212280487093,2.842893978462009,0.5235957937932821,0.9488824373913974,3.3142030608935773,2.8451234747340046,3.3204383739304175,0.2029520295202952,21600.000001,40.07999999999993,2022-06-10T04:36:00+00:00,2023-06-20T06:08:00+00:00,9001,1.0268689634192714
IND_STOCH_14_3_3_V1_K_CROSS_UP_D_4H,STOCHASTIC,DIRECTIONAL_TRIGGER,4H,VALIDATION,ALL,ALL,2076,541,388,126,2,0.0036968576709796672,0.7171903881700554,0.18689788053949905,526.8442413514734,1.947668175051658,26999.999999,38099.999999,49769.99999900001,1.9962461609203748,2.088316278709886,0.5702854503429475,0.7759476322769123,2.60973559124999,2.8053106688047817,4.12753400051321,0.23290203327171904,23400.000001,49.0,2022-06-10T04:36:00+00:00,2023-06-20T06:08:00+00:00,2250,1.0268689634192714
PRICE_SHORT_TERM_SLOPE_SIGN_CHANGE_4H,PRICE_ONLY,PRICE_BASELINE,4H,VALIDATION,ALL,ALL,2076,802,549,177,4,0.004987531172069825,0.6845386533665836,0.26445086705202314,781.0149381957149,3.895336350103316,24899.999999,31199.999999,39599.999999,1.818958712901246,1.9802269407931516,0.5885040530582184,0.7762261588959398,2.905391102246572,2.7707135132117164,3.818422956353986,0.22069825436408977,28800.000001,50.07999999999993,2022-06-10T04:36:00+00:00,2023-06-20T06:08:00+00:00,2250,1.0268689634192714
IND_DMA_3X3_V1_PRICE_CROSS_UP_DMA_4H,DMA,DIRECTIONAL_TRIGGER,4H,VALIDATION,ALL,ALL,2076,870,578,188,4,0.004597701149425287,0.664367816091954,0.27842003853564545,847.2356561474712,3.895336350103316,21599.999999,28799.999999,39599.999999,1.7835238546391592,1.8700810854888954,0.6003789078199628,0.751544453397798,2.837754983035616,2.7291199286939136,3.7758077226162143,0.2160919540229885,28800.000001,50.319999999999936,2022-06-10T04:36:00+00:00,2023-06-20T06:08:00+00:00,2250,1.0268689634192714
IND_STOCH_14_3_3_V1_K_CROSS_UP_LEVEL_1H,STOCHASTIC,DIRECTIONAL_TRIGGER,1H,VALIDATION,ALL,ALL,2076,505,334,149,4,0.007920792079207921,0.6613861386138614,0.1608863198458574,491.78621420054367,3.895336350103316,10799.999999,14399.999999,17999.999999,1.5265909087472722,1.4360177456940113,0.65961660696114,0.7045573625167169,2.774109331228099,2.5176691761649534,3.5522501906941577,0.29504950495049503,18000.000001,45.440000000000055,2022-06-10T04:36:00+00:00,2023-06-20T06:08:00+00:00,9001,1.0268689634192714
IND_SMA_CROSS_10_50_V1_MA_CROSS_UP_4H,MA/DMI,DIRECTIONAL_TRIGGER,4H,VALIDATION,ALL,ALL,2076,69,44,25,0,0.0,0.6376811594202898,0.02119460500963391,67.1945520392822,0.0,43199.999999,103049.999999,129599.999999,3.5612319081117745,3.7196100651638595,0.45609566293912107,0.6789640493840263,1.8997688222786202,2.5325264750378227,3.2374461979914395,0.36231884057971014,14400.000001,35.47000000000003,2022-06-10T04:36:00+00:00,2023-06-20T06:08:00+00:00,2250,1.0268689634192714
IND_ADX_14_V1_DI_CROSS_UP_1H,MA/DMI,DIRECTIONAL_TRIGGER,1H,VALIDATION,ALL,ALL,2076,719,447,140,17,0.02364394993045897,0.6216968011126565,0.2153179190751445,700.186708931071,16.555179487939093,17999.999999,28799.999999,46799.999999,2.1060600068921604,1.982150464343531,0.5676691729323293,0.7501254843844838,2.994111990891445,2.3228157056326113,3.0386736806201977,0.19471488178025034,21600.000001,35.44500000000005,2022-06-10T04:36:00+00:00,2023-06-20T06:08:00+00:00,9001,1.0268689634192714
IND_RSI_14_V1_RSI_CROSS_UP_30_1H,RSI,DIRECTIONAL_TRIGGER,1H,VALIDATION,ALL,ALL,2076,302,181,88,4,0.013245033112582781,0.5993377483443708,0.0871868978805395,294.09789443280033,3.895336350103316,7199.999999,10799.999999,17999.999999,1.5481373971939973,1.4764689104392636,0.7036207540126921,0.8250472547795664,2.995683967660493,3.3715624692729818,3.9576619742198584,0.2913907284768212,21600.000001,58.309999999999945,2022-06-10T04:36:00+00:00,2023-06-20T06:08:00+00:00,9001,1.0268689634192714
IND_DMA_25X5_V1_PRICE_CROSS_UP_DMA_1H,DMA,DIRECTIONAL_TRIGGER,1H,VALIDATION,ALL,ALL,2076,916,527,164,20,0.021834061135371178,0.5753275109170306,0.25385356454720615,892.0320241736594,19.47668175051658,14399.999999,25199.999999,46799.999999,1.8699035295185518,1.8708379888268212,0.5962359120253852,0.6735859438741542,2.733090246342045,2.4451225171709727,3.1825095057032486,0.17903930131004367,21600.000001,37.71500000000003,2022-06-10T04:36:00+00:00,2023-06-20T06:08:00+00:00,9001,1.0268689634192714
PRICE_ONE_BAR_DIRECTION_CHANGE_4H,PRICE_ONLY,PRICE_BASELINE,4H,VALIDATION,ALL,ALL,2076,1231,693,298,6,0.00487408610885459,0.5629569455727051,0.3338150289017341,1198.7897617442954,5.843004525154974,16199.999999,24299.999999,35039.99999900002,1.6710909961269054,1.58506266959555,0.624237520229056,0.7066650822757065,2.933852219375495,2.7295460750146026,3.774052812858765,0.2420796100731113,28800.000001,48.20999999999992,2022-06-10T04:36:00+00:00,2023-06-20T06:08:00+00:00,2250,1.0268689634192714
IND_RSI_14_V1_RSI_CROSS_UP_50_1H,RSI,DIRECTIONAL_TRIGGER,1H,VALIDATION,ALL,ALL,2076,922,515,172,26,0.028199566160520606,0.5585683297180043,0.24807321772639693,897.8750286988143,25.319686275671554,14399.999999,25199.999999,39599.999999,1.8835382513661156,1.8485059068797776,0.5740614334471016,0.6727438754900734,2.7887232980435672,2.337743995259147,3.1872866235478954,0.18655097613882862,25200.000001,40.15499999999997,2022-06-10T04:36:00+00:00,2023-06-20T06:08:00+00:00,9001,1.0268689634192714
PRICE_N5_BAR_EXTREME_BREAK_4H,PRICE_ONLY,PRICE_BASELINE,4H,VALIDATION,ALL,ALL,2076,421,225,64,6,0.014251781472684086,0.5344418052256532,0.10838150289017341,409.984150848374,5.843004525154974,32399.999999,52799.999999,70199.999999,3.941430224272271,4.477569461738236,0.433432128037937,1.0966914213811634,3.51547158429539,2.7734090749043445,3.0958664468178743,0.15201900237529692,43200.000001,52.094999999999914,2022-06-10T04:36:00+00:00,2023-06-20T06:08:00+00:00,2250,1.0268689634192714
PRICE_N3_BAR_EXTREME_BREAK_4H,PRICE_ONLY,PRICE_BASELINE,4H,VALIDATION,ALL,ALL,2076,537,285,83,7,0.01303538175046555,0.5307262569832403,0.13728323699421965,522.9489050013701,6.816838612680803,28799.999999,43199.999999,64079.99999899999,3.305735898504963,3.8574526813880214,0.44772099912475605,1.0704760074008315,3.748476604335682,2.848708712842514,3.1239692880351795,0.15456238361266295,43200.000001,46.87999999999988,2022-06-10T04:36:00+00:00,2023-06-20T06:08:00+00:00,2250,1.0268689634192714
IND_SMA_CROSS_10_50_V1_MA_CROSS_UP_15m,MA/DMI,DIRECTIONAL_TRIGGER,15m,VALIDATION,ALL,ALL,2076,1053,544,169,312,0.2962962962962963,0.51661918328585,0.26204238921001927,1025.447294164698,303.83623530805863,13499.999999,18899.999999,24509.999998999996,1.869372952060555,1.8521945075931758,0.6066156135828347,0.6489296636085565,2.471276826360294,2.3473527270205707,3.8936381709741834,0.16049382716049382,13200.000001,34.590000000000146,2022-06-10T04:36:00+00:00,2023-06-20T06:08:00+00:00,36001,1.0268689634192714
PRICE_CLOSE_ABOVE_PREVIOUS_HIGH_4H,PRICE_ONLY,PRICE_BASELINE,4H,VALIDATION,ALL,ALL,2076,889,446,143,10,0.01124859392575928,0.5016872890888638,0.21483622350674375,865.738503810462,9.73834087525829,25199.999999,35999.999999,50699.999999,2.371138299460788,2.7025552682026994,0.5145765341728531,0.9212930303577921,3.121476196528398,2.8095975070064094,3.23746562301671,0.1608548931383577,36000.000001,50.07999999999993,2022-06-10T04:36:00+00:00,2023-06-20T06:08:00+00:00,2250,1.0268689634192714
