candidate_id,family,DISC_PRECISION,VAL_PRECISION,DISC_RECALL,VAL_RECALL,DISC_FPR,VAL_FPR,precision_ratio,recall_ratio,precision_delta,recall_delta,abs_precision_delta
PRICE_CLOSE_ABOVE_PREVIOUS_HIGH_5m,PRICE_ONLY,0.022183744273565436,0.024996757277595566,0.6549707602339181,0.6498073217726397,0.65261866578068,0.5934923193803621,1.1268051492723963,0.9921165359207267,0.00281301300403013,-0.0051634384612784245,0.00281301300403013
PRICE_ONE_BAR_DIRECTION_CHANGE_5m,PRICE_ONLY,0.02172262809184597,0.024886676739845348,0.6747783437087342,0.674373795761079,0.6403893919243079,0.5944893787218913,1.1456568070226765,0.9994004728346323,0.003164048647999379,-0.0004045479476552094,0.003164048647999379
IND_DMA_3X3_V1_PRICE_CROSS_UP_DMA_5m,DMA,0.028771264395762924,0.03294620146854153,0.6696849651009243,0.6613680154142582,0.6406509599876811,0.5924317320151653,1.145107876225052,0.9875808027354881,0.00417493707277861,-0.008316949686666186,0.00417493707277861
PRICE_SHORT_TERM_SLOPE_SIGN_CHANGE_5m,PRICE_ONLY,0.032030981378598965,0.036277227722772275,0.6677985285795133,0.661849710982659,0.6403481785772454,0.593003300330033,1.1325668512613971,0.9910918977172529,0.00424624634417331,-0.005948817596854283,0.00424624634417331
IND_SMA_CROSS_10_50_V1_MA_CROSS_UP_1H,MA/DMI,0.7219917012448133,0.7269372693726938,0.09847198641765705,0.09489402697495183,0.059474412171507604,0.04428044280442804,1.0068498960851677,0.9636652049697695,0.004945568127880495,-0.0035779594427052114,0.004945568127880495
PRICE_N3_BAR_EXTREME_BREAK_5m,PRICE_ONLY,0.03364794038162313,0.03931676071374104,0.6200716845878136,0.6209055876685935,0.6594975841454427,0.5946926948299527,1.168474511896542,1.001344849477096,0.005668820332117908,0.0008339030807799075,0.005668820332117908
IND_DMA_7X5_V1_PRICE_CROSS_UP_DMA_5m,DMA,0.04651730829251082,0.052734375,0.6466704395397095,0.6372832369942196,0.6419062868929206,0.5954241071428571,1.13365061169049,0.9854837920963706,0.006217066707489179,-0.009387202545489859,0.006217066707489179
PRICE_N5_BAR_EXTREME_BREAK_5m,PRICE_ONLY,0.042039019939350025,0.04961722683915339,0.5910205621580834,0.5838150289017341,0.6651504173040281,0.5974126990625128,1.1802660221559993,0.9878083205260428,0.007578206899803368,-0.007205533256349317,0.007578206899803368
PRICE_ONE_BAR_DIRECTION_CHANGE_15m,PRICE_ONLY,0.06113639225138047,0.06936813186813187,0.6411997736276174,0.632466281310212,0.4340701836430023,0.37161876584953507,1.1346454920484048,0.9863794519639406,0.008231739616751402,-0.008733492317405389,0.008231739616751402
PRICE_CLOSE_ABOVE_PREVIOUS_HIGH_15m,PRICE_ONLY,0.06203553472347415,0.07231783229586232,0.5842293906810035,0.5708092485549133,0.448070027842878,0.3730013426095447,1.1657485120136695,0.9770293272811094,0.010282297572388167,-0.013420142126090218,0.010282297572388167
