feature_set_id,family,ma_type,period,display_shift,formula_version,causal_semantics,warmup_bars,source_engine,reference_status,preset_class
DMA_WMA_P3_SHIFT0_V1,DMA,WMA,3,0,MA_V1,CLOSED_CANDLE,3,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,PROJECT_RESEARCH
DMA_WMA_P3_SHIFT2_V1,DMA,WMA,3,2,MA_V1,CLOSED_CANDLE,5,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,PROJECT_RESEARCH
DMA_WMA_P3_SHIFT3_V1,DMA,WMA,3,3,MA_V1,CLOSED_CANDLE,6,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,PROJECT_RESEARCH
DMA_WMA_P3_SHIFT5_V1,DMA,WMA,3,5,MA_V1,CLOSED_CANDLE,8,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,PROJECT_RESEARCH
DMA_WMA_P5_SHIFT3_V1,DMA,WMA,5,3,MA_V1,CLOSED_CANDLE,8,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,PROJECT_RESEARCH
DMA_WMA_P5_SHIFT5_V1,DMA,WMA,5,5,MA_V1,CLOSED_CANDLE,10,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,PROJECT_RESEARCH
DMA_WMA_P7_SHIFT3_V1,DMA,WMA,7,3,MA_V1,CLOSED_CANDLE,10,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,PROJECT_RESEARCH
DMA_WMA_P7_SHIFT5_V1,DMA,WMA,7,5,MA_V1,CLOSED_CANDLE,12,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,PROJECT_RESEARCH
DMA_WMA_P10_SHIFT5_V1,DMA,WMA,10,5,MA_V1,CLOSED_CANDLE,15,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,PROJECT_RESEARCH
DMA_WMA_P14_SHIFT5_V1,DMA,WMA,14,5,MA_V1,CLOSED_CANDLE,19,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,PROJECT_RESEARCH
DMA_WMA_P14_SHIFT8_V1,DMA,WMA,14,8,MA_V1,CLOSED_CANDLE,22,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,PROJECT_RESEARCH
DMA_WMA_P20_SHIFT5_V1,DMA,WMA,20,5,MA_V1,CLOSED_CANDLE,25,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,PROJECT_RESEARCH
DMA_WMA_P25_SHIFT5_V1,DMA,WMA,25,5,MA_V1,CLOSED_CANDLE,30,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,PROJECT_RESEARCH
DMA_WMA_P25_SHIFT8_V1,DMA,WMA,25,8,MA_V1,CLOSED_CANDLE,33,INDICATOR_ENGINE_V1,PROJECT_RESEARCH,PROJECT_RESEARCH
