family,feature_set,horizon_minutes,weighted_log_loss,weighted_brier,weighted_ece,weighted_delta_logloss,weighted_delta_brier,improved_folds,support_class
CATBOOST,FS_DENSE,30,0.6921858901420564,0.24951765262922776,0.016524668405112027,-0.0009554917623891275,-0.0004794470769394028,2.0,SUPPORTED
CATBOOST,FS_DENSE,60,0.6945266194011244,0.25068143362020917,0.027936555854787024,0.0013061544533275106,0.0006447958123773811,0.0,NOT_SUPPORTED
CATBOOST,FS_DENSE,120,0.7004098196581887,0.25354670846791777,0.04628549222743694,0.007315064358527713,0.003572937109095506,0.0,NOT_SUPPORTED
CATBOOST,FS_DENSE,240,0.7053910747097051,0.25590903336746684,0.06374648778377232,0.012281481688241036,0.005927986452421302,0.0,NOT_SUPPORTED
CATBOOST,FS_DENSE,480,0.7419079388366655,0.2721754415303477,0.11881089342677618,0.048611987948552655,0.022101557325145963,0.0,NOT_SUPPORTED
CATBOOST,FS_DENSE,720,0.7611673240317393,0.27987107496723984,0.14279038553596157,0.0675273627094372,0.02962539368939615,0.0,NOT_SUPPORTED
CATBOOST,FS_DENSE,1440,0.7881799477979569,0.2908150571105682,0.1641079709192306,0.09474610048746043,0.0406738313160067,0.0,NOT_SUPPORTED
CATBOOST,FS_DENSE_ATOMIC,30,0.690377017269772,0.24861941422831124,0.015137098769609,-0.0027643646346736943,-0.0013776854778559688,3.0,SUPPORTED
CATBOOST,FS_DENSE_ATOMIC,60,0.6929629321237293,0.24990092813056136,0.022715997190955826,-0.0002575328240675357,-0.00013570967727041686,2.0,SUPPORTED
CATBOOST,FS_DENSE_ATOMIC,120,0.6963393306186747,0.2515677901394159,0.03468906600068741,0.0032445753190137035,0.001594018780593642,1.0,NOT_SUPPORTED
CATBOOST,FS_DENSE_ATOMIC,240,0.7041370652683782,0.25531395777073534,0.061492855789722356,0.01102747224691428,0.005332910855689853,0.0,NOT_SUPPORTED
CATBOOST,FS_DENSE_ATOMIC,480,0.7621994954725552,0.2796518914958921,0.13142954627541265,0.06890354458444224,0.029578007290690357,0.0,NOT_SUPPORTED
CATBOOST,FS_DENSE_ATOMIC,720,0.7763643539664429,0.28376252848153,0.14634991368455144,0.08272439264414082,0.03351684720368627,0.0,NOT_SUPPORTED
CATBOOST,FS_DENSE_ATOMIC,1440,0.8432550825364165,0.30771121638029736,0.18803772455403828,0.14982123522591995,0.05756999058573589,0.0,NOT_SUPPORTED
CATBOOST,FS_DENSE_COMPOSITE,30,0.6906540374703688,0.24875324956869674,0.010702651108418004,-0.002487344434076935,-0.0012438501374704546,3.0,SUPPORTED
CATBOOST,FS_DENSE_COMPOSITE,60,0.6920171712631766,0.249432027615645,0.016280626385217323,-0.0012032936846201477,-0.0006046101921868108,3.0,SUPPORTED
CATBOOST,FS_DENSE_COMPOSITE,120,0.6936757193659452,0.2502567589870295,0.0243646744500555,0.000580964066284092,0.0002829876282071991,2.0,NOT_SUPPORTED
CATBOOST,FS_DENSE_COMPOSITE,240,0.6966424323114756,0.2517288699344635,0.04315018494585949,0.003532839290011579,0.0017478230194179355,0.0,NOT_SUPPORTED
CATBOOST,FS_DENSE_COMPOSITE,480,0.7300607579179444,0.26696569529844233,0.1015208379504358,0.03676480702983149,0.01689181109324058,0.0,NOT_SUPPORTED
CATBOOST,FS_DENSE_COMPOSITE,720,0.7543964343646364,0.27667687263690854,0.13032771187580644,0.06075647304233437,0.026431191359064816,0.0,NOT_SUPPORTED
CATBOOST,FS_DENSE_COMPOSITE,1440,0.787396392279113,0.29038604847065197,0.15921530536063908,0.09396254496861624,0.04024482267609048,0.0,NOT_SUPPORTED
CATBOOST,FS_FULL,30,0.6903473859918876,0.24860238469708326,0.011724560845483727,-0.002793995912558139,-0.0013947150090839603,3.0,SUPPORTED
CATBOOST,FS_FULL,60,0.6916673728284536,0.24925885503319256,0.014760323565161165,-0.0015530921193432318,-0.0007777827746392534,3.0,SUPPORTED
CATBOOST,FS_FULL,120,0.6938054826249731,0.250319611258719,0.025726412054360746,0.0007107273253120634,0.00034583989989669825,2.0,NOT_SUPPORTED
CATBOOST,FS_FULL,240,0.697964465842671,0.2523768742950989,0.04939619312298996,0.00485487282120706,0.0023958273800534437,0.0,NOT_SUPPORTED
CATBOOST,FS_FULL,480,0.7297521374456036,0.2669952475799843,0.10303821515656696,0.036456186557490805,0.01692136337478254,0.0,NOT_SUPPORTED
CATBOOST,FS_FULL,720,0.7485829957774699,0.2751235590901307,0.13093760761580286,0.054943034455167884,0.024877877812287025,0.0,NOT_SUPPORTED
CATBOOST,FS_FULL,1440,0.7867230652131331,0.2899563797639162,0.15726743849209351,0.09328921790263657,0.039815153969354734,0.0,NOT_SUPPORTED
LIGHTGBM,FS_DENSE,30,0.6946584779973829,0.25073169673564816,0.026155595951821917,0.0015170960929371802,0.0007345970294809625,1.0,NOT_SUPPORTED
LIGHTGBM,FS_DENSE,60,0.697624761799664,0.2521844159188232,0.035785671283342604,0.004404296851867185,0.0021477781109914195,0.0,NOT_SUPPORTED
LIGHTGBM,FS_DENSE,120,0.713427763578018,0.25956176153194543,0.07219846248218358,0.020333008278356948,0.009587990173123178,0.0,NOT_SUPPORTED
LIGHTGBM,FS_DENSE,240,0.7182802671135249,0.26183640449782786,0.08671232366394477,0.025170674092060898,0.011855357582782371,0.0,NOT_SUPPORTED
LIGHTGBM,FS_DENSE,480,0.7769720705892905,0.2859511731050276,0.15691118742744173,0.08367611970117762,0.03587728889982588,0.0,NOT_SUPPORTED
LIGHTGBM,FS_DENSE,720,0.8022261806149698,0.2960560115993236,0.18343700321070458,0.10858621929266772,0.04581033032147989,0.0,NOT_SUPPORTED
LIGHTGBM,FS_DENSE,1440,0.8947067617632414,0.3216344884517548,0.21151057430518044,0.20127291445274478,0.07149326265719334,0.0,NOT_SUPPORTED
