horizon_minutes,block,rows,logloss,prior_logloss,delta_logloss,brier,prior_brier,delta_brier,roc_auc,balanced_accuracy_at_0_5,ece_10_bin,positive_rate,mean_predicted_probability,std_predicted_probability,constant_0_5_logloss,constant_0_5_brier
30,OOS_BLOCK_1,36361,0.6897173457420974,0.69299903855707,-0.003281692814972592,0.24828979757010372,0.24992593106434258,-0.0016361334942388561,0.547719565846797,0.5326378549191114,0.008717035919950752,0.5098869668050934,0.501206439638841,0.03505647696148535,0.6931471805599454,0.25
30,OOS_BLOCK_2,36370,0.6912314706260418,0.6930148245147884,-0.0017833538887465084,0.2490417770047987,0.24993382377794088,-0.0008920467731421688,0.5352482579167677,0.5273781423810997,0.0055276378043402595,0.5091009073412153,0.5038324567608211,0.03384638935032891,0.6931471805599454,0.25
30,OOS_BLOCK_3,36374,0.6913532461314968,0.6931341000601365,-0.0017808539286396918,0.24910114807716355,0.24999345954635643,-0.0008923114691928857,0.536413763165142,0.5292056437008918,0.004714882307451288,0.5031615989443009,0.5025242126760506,0.03334144635526235,0.6931471805599454,0.25
60,OOS_BLOCK_1,36382,0.6905705144302868,0.6929608691469222,-0.002390354716635401,0.24871478881361006,0.24990684713340316,-0.0011920583197931045,0.5424239060928397,0.5296477009616873,0.012106731915979116,0.5115991424330713,0.49949614704963885,0.029075629424628484,0.6931471805599454,0.25
60,OOS_BLOCK_2,36387,0.6922211336192438,0.6929594823352373,-0.000738348715993542,0.24953676387954268,0.24990615375223368,-0.00036938987269100054,0.5256475858488806,0.520948086833633,0.009504449274832186,0.5116662544315277,0.5025082869124315,0.029520502816328807,0.6931471805599454,0.25
60,OOS_BLOCK_3,36389,0.6924291377761352,0.6931309916434266,-0.0007018538672913799,0.24963818072540095,0.24999190535497468,-0.0003537246295737262,0.5263431134699432,0.5212940480258363,0.003324968450317807,0.5033664019346505,0.500311354728881,0.02901157491448947,0.6931471805599453,0.25
