horizon_minutes,block_length_calendar_days,repetitions,random_seed,delta_logloss_ci_low,delta_logloss_ci_high,delta_brier_ci_low,delta_brier_ci_high
30,7,2000,20260925,-0.002661519636385573,-0.001898299808234799,-0.0013286156832627398,-0.000949957661325749
60,7,2000,20260925,-0.0016705639113974435,-0.0008666905937083614,-0.0008339343641505965,-0.0004333359682513313
