timeframe,split,direction,horizon,event_semantics,dynamic_event_count,dynamic_reversal_rate,dynamic_absolute_lift,dynamic_minus_quantile_lift,dynamic_minus_quantile_reversal_rate,vs_quantile_class,dynamic_minus_atr_lift,dynamic_minus_atr_reversal_rate,vs_atr_class
15m,VALIDATION,OS,5,FORECAST_REALIZATION,2823,0.5501239815798795,0.047592547285899345,-0.0028271621648253698,-0.0028271621648253698,SIMILAR,-0.004707723088958726,-0.004707723088958726,SIMILAR
15m,VALIDATION,OS,10,FORECAST_REALIZATION,2823,0.5363088912504428,0.036601020455016675,-0.008195205952156837,-0.008195205952156837,SIMILAR,0.001564048688010633,0.001564048688010633,SIMILAR
1D,DISCOVERY,OB,1,FORECAST_REALIZATION,122,0.5081967213114754,0.04378390992357506,0.012470225584979677,0.012470225584979677,BETTER,0.019307832422586546,0.019307832422586546,BETTER
1D,DISCOVERY,OB,3,FORECAST_REALIZATION,122,0.5081967213114754,0.05543379796031678,0.08084629396104809,0.08084629396104809,BETTER,0.07486338797814207,0.07486338797814207,BETTER
1D,DISCOVERY,OB,5,FORECAST_REALIZATION,122,0.47540983606557374,0.02987412177985943,0.08224744290318059,0.08224744290318059,BETTER,-0.04681238615664851,-0.04681238615664851,WORSE
1D,DISCOVERY,OB,10,FORECAST_REALIZATION,122,0.4180327868852459,-0.007976181724619558,0.016323385175844196,0.016323385175844196,BETTER,0.006921675774134828,0.006921675774134828,SIMILAR
1D,DISCOVERY,OS,1,FORECAST_REALIZATION,82,0.6219512195121951,0.08636403090009548,0.05052264808362372,0.05052264808362372,BETTER,0.05298570227081578,0.05298570227081578,BETTER
1D,DISCOVERY,OS,3,FORECAST_REALIZATION,82,0.6585365853658537,0.11129950871701233,-0.0047287207565952505,-0.0047287207565952505,SIMILAR,0.10681244743481921,0.10681244743481921,BETTER
1D,DISCOVERY,OS,5,FORECAST_REALIZATION,82,0.6707317073170732,0.11716027874564461,0.03807864609258338,0.03807864609258338,BETTER,0.1362489486963836,0.1362489486963836,BETTER
1D,DISCOVERY,OS,10,FORECAST_REALIZATION,82,0.6707317073170732,0.09674067592693869,-0.0027376804380288,-0.0027376804380288,SIMILAR,0.1707317073170732,0.1707317073170732,BETTER
1D,VALIDATION,OB,1,FORECAST_REALIZATION,25,0.56,0.043957219251337,,,INSUFFICIENT,,,INSUFFICIENT
1D,VALIDATION,OB,3,FORECAST_REALIZATION,25,0.44,-0.030430107526881744,,,INSUFFICIENT,,,INSUFFICIENT
1D,VALIDATION,OB,5,FORECAST_REALIZATION,25,0.56,0.08972972972972976,,,INSUFFICIENT,,,INSUFFICIENT
1D,VALIDATION,OB,10,FORECAST_REALIZATION,25,0.56,0.11616438356164388,,,INSUFFICIENT,,,INSUFFICIENT
1D,VALIDATION,OS,1,FORECAST_REALIZATION,29,0.5172413793103449,0.03328416005900797,,,INSUFFICIENT,,,INSUFFICIENT
1D,VALIDATION,OS,3,FORECAST_REALIZATION,29,0.4827586206896552,-0.04681127178346306,,,INSUFFICIENT,,,INSUFFICIENT
1D,VALIDATION,OS,5,FORECAST_REALIZATION,29,0.4827586206896552,-0.046971109040074566,,,INSUFFICIENT,,,INSUFFICIENT
1D,VALIDATION,OS,10,FORECAST_REALIZATION,28,0.5,-0.05616438356164388,,,INSUFFICIENT,,,INSUFFICIENT
