timeframe,split,direction,horizon,event_semantics,dynamic_event_count,dynamic_reversal_rate,dynamic_absolute_lift,dynamic_minus_quantile_lift,dynamic_minus_quantile_reversal_rate,vs_quantile_class,dynamic_minus_atr_lift,dynamic_minus_atr_reversal_rate,vs_atr_class
6H,VALIDATION,OB,1,FORECAST_REALIZATION,128,0.4765625,-0.020104166666666645,0.0007560483870967527,0.0007560483870967527,SIMILAR,0.061928353658536606,0.061928353658536606,BETTER
6H,VALIDATION,OB,3,FORECAST_REALIZATION,128,0.4375,-0.06583778371161553,0.010080645161290314,0.010080645161290314,BETTER,0.08384146341463417,0.08384146341463417,BETTER
6H,VALIDATION,OB,5,FORECAST_REALIZATION,128,0.4765625,-0.021432152406417104,-0.007308467741935498,-0.007308467741935498,SIMILAR,0.03753810975609756,0.03753810975609756,BETTER
6H,VALIDATION,OB,10,FORECAST_REALIZATION,128,0.421875,-0.07041205566733738,-0.005544354838709686,-0.005544354838709686,SIMILAR,0.05602134146341464,0.05602134146341464,BETTER
6H,VALIDATION,OS,1,FORECAST_REALIZATION,114,0.5964912280701754,0.0931578947368421,-0.005134788189987249,-0.005134788189987249,SIMILAR,0.018177975058127238,0.018177975058127238,BETTER
6H,VALIDATION,OS,3,FORECAST_REALIZATION,114,0.5263157894736842,0.029653573185299653,-0.02652973898160038,-0.02652973898160038,WORSE,0.008243500317057673,0.008243500317057673,SIMILAR
6H,VALIDATION,OS,5,FORECAST_REALIZATION,114,0.5614035087719298,0.05939816117834695,-0.007702182284980763,-0.007702182284980763,SIMILAR,-0.02895793701120275,-0.02895793701120275,WORSE
6H,VALIDATION,OS,10,FORECAST_REALIZATION,114,0.5087719298245614,0.0010589854918987562,-0.019683354728284086,-0.019683354728284086,WORSE,-0.06954132318748674,-0.06954132318748674,WORSE
8H,DISCOVERY,OB,1,FORECAST_REALIZATION,288,0.4652777777777778,-0.015160870710663243,-0.006364013266998314,-0.006364013266998314,SIMILAR,0.04667312661498707,0.04667312661498707,BETTER
8H,DISCOVERY,OB,3,FORECAST_REALIZATION,288,0.4305555555555556,-0.031188216686437287,-0.005265339966832483,-0.005265339966832483,SIMILAR,-0.015956072351421158,-0.015956072351421158,WORSE
8H,DISCOVERY,OB,5,FORECAST_REALIZATION,288,0.3993055555555556,-0.058261210023079435,-0.024575041459369784,-0.024575041459369784,WORSE,-0.02860142118863046,-0.02860142118863046,WORSE
8H,DISCOVERY,OB,10,FORECAST_REALIZATION,288,0.4270833333333333,-0.023436726102030736,0.01514303482587065,0.01514303482587065,BETTER,-0.019428294573643423,-0.019428294573643423,WORSE
8H,DISCOVERY,OS,1,FORECAST_REALIZATION,226,0.5176991150442478,-0.0012694682396882095,-0.03599216012353745,-0.03599216012353745,WORSE,-0.0035130061678734226,-0.0035130061678734226,SIMILAR
8H,DISCOVERY,OS,3,FORECAST_REALIZATION,226,0.584070796460177,0.046111128607270735,-0.003177525687473981,-0.003177525687473981,SIMILAR,-0.04623223384285324,-0.04623223384285324,WORSE
8H,DISCOVERY,OS,5,FORECAST_REALIZATION,226,0.5398230088495575,-0.0023134896667630356,-0.0306467898081606,-0.0306467898081606,WORSE,-0.03593456690801833,-0.03593456690801833,WORSE
8H,DISCOVERY,OS,10,FORECAST_REALIZATION,225,0.56,0.010520059435364049,-0.03731543624161071,-0.03731543624161071,WORSE,-0.013170731707316974,-0.013170731707316974,WORSE
8H,VALIDATION,OB,1,FORECAST_REALIZATION,79,0.45569620253164556,-0.030068922023514577,-0.044303797468354444,-0.044303797468354444,WORSE,0.031038668285070237,0.031038668285070237,BETTER
8H,VALIDATION,OB,3,FORECAST_REALIZATION,79,0.4936708860759494,-0.01524176989553011,-0.02716244725738398,-0.02716244725738398,WORSE,0.027917461418415168,0.027917461418415168,BETTER
8H,VALIDATION,OB,5,FORECAST_REALIZATION,79,0.4430379746835443,-0.05874773960217,-0.004878691983122407,-0.004878691983122407,SIMILAR,0.03207907057395526,0.03207907057395526,BETTER
8H,VALIDATION,OB,10,FORECAST_REALIZATION,79,0.4430379746835443,-0.032298348186410863,-0.025712025316455722,-0.025712025316455722,WORSE,0.1374824191279887,0.1374824191279887,BETTER
8H,VALIDATION,OS,1,FORECAST_REALIZATION,85,0.5647058823529412,0.05047100690810136,0.03209718670076722,0.03209718670076722,BETTER,0.12402791625124626,0.12402791625124626,BETTER
8H,VALIDATION,OS,3,FORECAST_REALIZATION,85,0.5647058823529412,0.07450980392156864,-0.04398976982097191,-0.04398976982097191,WORSE,0.022333000997008967,0.022333000997008967,BETTER
8H,VALIDATION,OS,5,FORECAST_REALIZATION,85,0.5411764705882353,0.04296218487394954,-0.04578005115089523,-0.04578005115089523,WORSE,0.10049850448654035,0.10049850448654035,BETTER
8H,VALIDATION,OS,10,FORECAST_REALIZATION,85,0.5058823529411764,-0.018781324188868354,-0.05933503836317133,-0.05933503836317133,WORSE,-0.03649052841475575,-0.03649052841475575,WORSE
