timeframe,split,direction,control_id,event_semantics,horizon,event_count,sample_flag,reversal_rate,reversal_wilson_lo,reversal_wilson_hi,base_rate,absolute_lift,relative_lift,forward_return_mean,forward_return_median,forward_return_mean_ci_lo,forward_return_mean_ci_hi,mfe_mean,mfe_median,mfe_mean_ci_lo,mfe_mean_ci_hi,mae_mean,mae_median,mae_mean_ci_lo,mae_mean_ci_hi
12H,DISCOVERY,OB,ATR_1X_PRICE_BAND_CONTROL_V1,FORECAST_REALIZATION,1,130,N_GE_100,0.4461538461538462,0.3634686477864737,0.5319300922166345,0.4753223654957759,-0.02916851934192971,-0.061365762394761436,0.005954208330312371,0.0017610941209410536,1.4674006822350927e-05,0.0128079723878344,7.62640200191251,5.981052631578944,6.5004018437111135,8.77526691819981,10.188909201975937,7.543523283375693,8.661671289884337,11.860056434190925
12H,DISCOVERY,OB,ATR_1X_PRICE_BAND_CONTROL_V1,FORECAST_REALIZATION,3,130,N_GE_100,0.43846153846153846,0.3561441424577135,0.5243115604029815,0.4712950600801068,-0.03283352161856834,-0.06966659402920028,0.0155775003419135,0.008887455320959914,0.004696264346012865,0.026336341030058746,7.62640200191251,5.981052631578944,6.5004018437111135,8.77526691819981,10.188909201975937,7.543523283375693,8.661671289884337,11.860056434190925
12H,DISCOVERY,OB,ATR_1X_PRICE_BAND_CONTROL_V1,FORECAST_REALIZATION,5,130,N_GE_100,0.4153846153846154,0.3342905969843901,0.5013359944490656,0.4552338530066815,-0.0398492376220661,-0.08753575191931351,0.02134849818008944,0.01594553077724903,0.007614163535033172,0.03531759201553093,7.62640200191251,5.981052631578944,6.5004018437111135,8.77526691819981,10.188909201975937,7.543523283375693,8.661671289884337,11.860056434190925
12H,DISCOVERY,OB,ATR_1X_PRICE_BAND_CONTROL_V1,FORECAST_REALIZATION,10,129,N_GE_100,0.4496124031007752,0.3664624265425491,0.5356766624175358,0.44375,0.0058624031007752375,0.013211049241183659,0.025724306030352046,0.008980716253443433,0.005744196728863124,0.04514514639978122,7.610654941666171,5.889230769230766,6.502950271074055,8.784313330044888,10.26365075120101,7.632266204994274,8.669615994194974,11.913499499843729
12H,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,FORECAST_REALIZATION,1,213,N_GE_100,0.4507042253521127,0.3853450077431652,0.5178101064046736,0.4753223654957759,-0.024618140143663203,-0.05179251373535876,0.003797082596509104,0.0015884656362856742,-0.000658005902461616,0.008204010751543702,7.4632805225056735,6.021267120683856,6.599173914491692,8.243238754451504,9.027821149840914,6.755279360147309,7.876441523778483,10.182815121014901
12H,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,FORECAST_REALIZATION,3,213,N_GE_100,0.47417840375586856,0.40817206570259545,0.5410996607557963,0.4712950600801068,0.0028833436757617625,0.006117916184548378,0.005009052886152355,0.0016629664235079389,-0.0031886861832141574,0.012215360443050171,7.4632805225056735,6.021267120683856,6.599173914491692,8.243238754451504,9.027821149840914,6.755279360147309,7.876441523778483,10.182815121014901
12H,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,FORECAST_REALIZATION,5,213,N_GE_100,0.5211267605633803,0.45425982853643193,0.5872451225430656,0.4552338530066815,0.06589290755669874,0.14474518342934317,0.007235637867051637,-0.0036336803991470212,-0.002570446730281774,0.017418247052766418,7.4632805225056735,6.021267120683856,6.599173914491692,8.243238754451504,9.027821149840914,6.755279360147309,7.876441523778483,10.182815121014901
12H,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,FORECAST_REALIZATION,10,212,N_GE_100,0.4481132075471698,0.3826854008193554,0.5153880011569087,0.44375,0.004363207547169845,0.009832580387988399,0.020065476693732754,0.012802092024520095,0.007020351395466995,0.03461344174146591,7.452929143962352,5.969933015755354,6.591126363852445,8.289380700936416,9.067823847000817,6.801191307013253,7.952294059315697,10.235975534212967
12H,DISCOVERY,OB,PROJECT_DYNAMIC_EXTREMA_V1,FORECAST_REALIZATION,1,226,N_GE_100,0.4557522123893805,0.3920995952137125,0.520883955196657,0.4753223654957759,-0.01957015310639537,-0.04117238010877755,0.003441941296582629,0.0016222830862796522,-0.0008178335207862616,0.007844369366142148,7.451292725467315,6.04707080730549,6.603252522053257,8.446237368487779,9.131801217112816,7.252225935523551,8.044564215291473,10.381732653331865
12H,DISCOVERY,OB,PROJECT_DYNAMIC_EXTREMA_V1,FORECAST_REALIZATION,3,226,N_GE_100,0.4646017699115044,0.4007113560878442,0.5296754842404513,0.4712950600801068,-0.006693290168602373,-0.01420191030108553,0.009874628875275583,0.003919027520529306,0.0029963157370126482,0.0175700476740263,7.451292725467315,6.04707080730549,6.603252522053257,8.446237368487779,9.131801217112816,7.252225935523551,8.044564215291473,10.381732653331865
