timeframe,split,direction,control_id,event_semantics,event_count,valid_predictor_rows,events_per_1000_valid_bars
1H,VALIDATION,OS,PROJECT_DYNAMIC_EXTREMA_V1,FORECAST_REALIZATION,692,8949,77.32707565091073
2H,DISCOVERY,OB,ATR_1X_PRICE_BAND_CONTROL_V1,FORECAST_REALIZATION,723,12921,55.95542140701184
2H,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,FORECAST_REALIZATION,1226,12921,94.88429688104635
2H,DISCOVERY,OB,PROJECT_DYNAMIC_EXTREMA_V1,FORECAST_REALIZATION,1082,12921,83.73964863400666
2H,DISCOVERY,OS,ATR_1X_PRICE_BAND_CONTROL_V1,FORECAST_REALIZATION,691,12921,53.478832907669684
2H,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,FORECAST_REALIZATION,1284,12921,99.37311353610401
2H,DISCOVERY,OS,PROJECT_DYNAMIC_EXTREMA_V1,FORECAST_REALIZATION,1047,12921,81.03087996285117
2H,VALIDATION,OB,ATR_1X_PRICE_BAND_CONTROL_V1,FORECAST_REALIZATION,240,4501,53.32148411464119
2H,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,FORECAST_REALIZATION,390,4501,86.64741168629193
2H,VALIDATION,OB,PROJECT_DYNAMIC_EXTREMA_V1,FORECAST_REALIZATION,343,4501,76.20528771384137
2H,VALIDATION,OS,ATR_1X_PRICE_BAND_CONTROL_V1,FORECAST_REALIZATION,241,4501,53.54365696511886
2H,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,FORECAST_REALIZATION,385,4501,85.53654743390356
2H,VALIDATION,OS,PROJECT_DYNAMIC_EXTREMA_V1,FORECAST_REALIZATION,356,4501,79.0935347700511
30m,DISCOVERY,OB,ATR_1X_PRICE_BAND_CONTROL_V1,FORECAST_REALIZATION,2734,52904,51.67851202177529
30m,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,FORECAST_REALIZATION,5227,52904,98.80160290337214
30m,DISCOVERY,OB,PROJECT_DYNAMIC_EXTREMA_V1,FORECAST_REALIZATION,4504,52904,85.13533948283683
