timestamp,candidate_index,template,rss_mb,vms_mb,active_stream_count,result_batch_rows
2026-09-08T06:09:21.448769+00:00,0,T1_DUAL_ANCHOR,296.85546875,2365.515625,3,1
2026-09-08T06:09:30.230452+00:00,2,T1_DUAL_ANCHOR,307.4375,2369.3515625,5,3
2026-09-08T06:09:35.251375+00:00,3,T1_DUAL_ANCHOR,309.078125,2372.88671875,5,4
2026-09-08T06:09:44.203732+00:00,5,T1_DUAL_ANCHOR,306.7109375,2372.88671875,5,6
2026-09-08T06:09:52.134111+00:00,7,T1_DUAL_ANCHOR,303.32421875,2372.88671875,5,8
2026-09-08T06:10:00.328233+00:00,9,T1_DUAL_ANCHOR,302.421875,2372.88671875,5,10
2026-09-08T06:10:05.331266+00:00,10,T1_DUAL_ANCHOR,312.15625,2372.88671875,5,11
2026-09-08T06:10:13.869713+00:00,12,T1_DUAL_ANCHOR,307.89453125,2372.88671875,5,13
2026-09-08T06:10:20.937839+00:00,14,T1_DUAL_ANCHOR,307.69921875,2372.88671875,5,15
2026-09-08T06:10:28.866735+00:00,16,T1_DUAL_ANCHOR,307.8359375,2372.88671875,5,17
2026-09-08T06:10:36.420711+00:00,18,T1_DUAL_ANCHOR,308.2421875,2372.88671875,5,19
2026-09-08T06:10:44.433593+00:00,20,T1_DUAL_ANCHOR,309.31640625,2372.88671875,5,21
2026-09-08T06:10:53.165028+00:00,22,T1_DUAL_ANCHOR,307.67578125,2372.88671875,5,23
2026-09-08T06:11:00.988399+00:00,24,T1_DUAL_ANCHOR,306.99609375,2372.88671875,5,25
2026-09-08T06:11:08.303694+00:00,26,T1_DUAL_ANCHOR,314.85546875,2372.88671875,5,27
2026-09-08T06:11:16.088296+00:00,28,T1_DUAL_ANCHOR,311.0390625,2372.88671875,5,29
2026-09-08T06:11:23.036682+00:00,30,T1_DUAL_ANCHOR,305.21484375,2372.88671875,5,31
2026-09-08T06:11:30.001688+00:00,32,T1_DUAL_ANCHOR,310.1640625,2372.88671875,5,33
2026-09-08T06:11:37.197168+00:00,34,T1_DUAL_ANCHOR,312.3046875,2372.88671875,5,35
2026-09-08T06:11:43.956453+00:00,36,T1_DUAL_ANCHOR,305.05859375,2372.88671875,5,37
2026-09-08T06:11:49.815558+00:00,38,T1_DUAL_ANCHOR,306.9921875,2372.88671875,5,39
2026-09-08T06:11:56.067195+00:00,40,T1_DUAL_ANCHOR,306.3125,2372.88671875,5,41
2026-09-08T06:12:02.003389+00:00,42,T1_DUAL_ANCHOR,307.25,2372.88671875,5,43
2026-09-08T06:12:08.280797+00:00,44,T1_DUAL_ANCHOR,306.34375,2372.88671875,5,45
2026-09-08T06:12:14.884720+00:00,46,T1_DUAL_ANCHOR,304.83203125,2372.88671875,5,47
2026-09-08T06:12:21.382809+00:00,48,T1_DUAL_ANCHOR,304.0859375,2372.88671875,5,49
2026-09-08T06:12:28.381811+00:00,50,T1_DUAL_ANCHOR,313.5234375,2372.88671875,1,1
2026-09-08T06:12:35.874419+00:00,52,T1_DUAL_ANCHOR,309.73828125,2372.88671875,3,3
2026-09-08T06:12:42.517616+00:00,54,T1_DUAL_ANCHOR,306.99609375,2372.88671875,5,5
2026-09-08T06:12:49.397917+00:00,56,T1_DUAL_ANCHOR,310.34765625,2372.88671875,5,7
2026-09-08T06:12:56.479893+00:00,58,T1_DUAL_ANCHOR,312.62890625,2372.88671875,5,9
2026-09-08T06:13:02.873762+00:00,60,T1_DUAL_ANCHOR,306.66015625,2372.88671875,5,11
2026-09-08T06:13:08.301966+00:00,62,T1_DUAL_ANCHOR,307.37890625,2372.88671875,5,13
2026-09-08T06:13:14.708090+00:00,64,T1_DUAL_ANCHOR,306.90625,2372.88671875,5,15
2026-09-08T06:13:20.987577+00:00,66,T1_DUAL_ANCHOR,304.859375,2372.88671875,5,17
