timeframe,split,direction,control_id,horizon,sample_count,sample_flag,reversal_rate_event,reversal_wilson_lo,reversal_wilson_hi
1D,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,5,104,N_GE_100,0.6346153846153846,0.5388083768716194,0.720831687815848
1D,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,10,104,N_GE_100,0.6057692307692307,0.5096903738886607,0.6943125340800638
1D,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,1,38,N_30_99,0.5789473684210527,0.42192070613127325,0.7214772518818047
1D,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,3,38,N_30_99,0.42105263157894735,0.2785227481181953,0.5780792938687267
1D,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,5,38,N_30_99,0.5526315789473685,0.3970602917908942,0.6985383468844911
1D,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,10,38,N_30_99,0.5,0.3484967553286069,0.6515032446713931
1D,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,1,32,N_30_99,0.53125,0.3644923793257382,0.6913087009831766
1D,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,3,32,N_30_99,0.59375,0.4225972657298823,0.744805975196862
1D,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,5,32,N_30_99,0.59375,0.4225972657298823,0.744805975196862
1D,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,10,29,N_LT_30,0.5517241379310345,0.37547667068067625,0.715870888512542
1H,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,1,2331,N_GE_100,0.5396825396825397,0.5193997447822244,0.55983475232456
1H,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,3,2331,N_GE_100,0.5220935220935221,0.5017955739567362,0.5423187676756897
1H,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,5,2331,N_GE_100,0.5156585156585156,0.49536131018013335,0.5359041940836249
1H,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,10,2331,N_GE_100,0.4744744744744745,0.45426150144715316,0.49477144365713144
1H,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,1,2535,N_GE_100,0.5700197238658777,0.550655647700208,0.5891719019980481
1H,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,3,2535,N_GE_100,0.5723865877712031,0.5530321561697824,0.5915219585886964
1H,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,5,2535,N_GE_100,0.5743589743589743,0.5550129229914279,0.5934799959839031
1H,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,10,2535,N_GE_100,0.558974358974359,0.5395711879657762,0.5781990581181072
1H,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,1,814,N_GE_100,0.5663390663390664,0.5320607710074178,0.5999941403592822
1H,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,3,814,N_GE_100,0.5356265356265356,0.5012776655468789,0.5696407127796821
1H,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,5,814,N_GE_100,0.5307125307125307,0.4963644564932533,0.5647720765468855
1H,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,10,810,N_GE_100,0.5172839506172839,0.4828704735857445,0.5515342557866544
1H,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,1,800,N_GE_100,0.57375,0.5392084616910915,0.6075866282868345
1H,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,3,799,N_GE_100,0.5832290362953693,0.5487241368203082,0.616937433282686
1H,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,5,799,N_GE_100,0.5732165206508135,0.5386503513663401,0.6070820072956924
1H,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,10,799,N_GE_100,0.5381727158948686,0.5035036593489721,0.5724764592696945
