timeframe,split,direction,control_id,horizon,sample_count,sample_flag,reversal_rate_event,reversal_wilson_lo,reversal_wilson_hi
15m,DISCOVERY,OB,PROJECT_DYNAMIC_EXTREMA_V1,10,6271,N_GE_100,0.5121990113219582,0.49982365682579244,0.5245594287966399
15m,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,1,10654,N_GE_100,0.5690820349164633,0.5596554059999262,0.5784588628403987
15m,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,3,10654,N_GE_100,0.5657968837995119,0.5563629520515536,0.5751833828085928
15m,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,5,10654,N_GE_100,0.5627933170640135,0.5533530764667088,0.5721882901829888
15m,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,10,10654,N_GE_100,0.5546273700018772,0.5451717477790957,0.5640436115484438
15m,DISCOVERY,OS,PROJECT_DYNAMIC_EXTREMA_V1,1,6329,N_GE_100,0.5648601674830147,0.5526100281888713,0.5770316164087135
15m,DISCOVERY,OS,PROJECT_DYNAMIC_EXTREMA_V1,3,6329,N_GE_100,0.5642281561068099,0.5519763750751417,0.5764020135458526
15m,DISCOVERY,OS,PROJECT_DYNAMIC_EXTREMA_V1,5,6329,N_GE_100,0.5582240480328646,0.5459576746352343,0.5704197822081519
15m,DISCOVERY,OS,PROJECT_DYNAMIC_EXTREMA_V1,10,6329,N_GE_100,0.5623321219781956,0.5500755366585834,0.57451308403264
15m,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,1,3341,N_GE_100,0.5740796168811733,0.5572364589262667,0.5907526117669463
15m,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,3,3341,N_GE_100,0.5492367554624364,0.5323175969295688,0.5660428157129911
15m,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,5,3341,N_GE_100,0.5558216102963185,0.5389184374429387,0.5725965592612402
15m,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,10,3341,N_GE_100,0.5324753067943729,0.5155288745291644,0.5493471423201834
15m,VALIDATION,OB,PROJECT_DYNAMIC_EXTREMA_V1,1,2053,N_GE_100,0.5547978567949342,0.5332168792593989,0.5761741404477093
15m,VALIDATION,OB,PROJECT_DYNAMIC_EXTREMA_V1,3,2053,N_GE_100,0.5528494885533366,0.5312630499406324,0.5742385112880007
15m,VALIDATION,OB,PROJECT_DYNAMIC_EXTREMA_V1,5,2053,N_GE_100,0.5470043838285436,0.5254035587329371,0.5684296270602711
15m,VALIDATION,OB,PROJECT_DYNAMIC_EXTREMA_V1,10,2053,N_GE_100,0.5163175840233805,0.4946900447553064,0.5378841700019215
15m,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,1,3363,N_GE_100,0.5765685399940529,0.5597907374092149,0.5931716116362523
15m,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,3,3363,N_GE_100,0.5744870651204282,0.5577009059223246,0.5911032433432661
15m,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,5,3363,N_GE_100,0.560511448111805,0.5436769838956425,0.5772078239907755
