horizon_minutes,strategy_id,total_trades,long_trades,short_trades,exposure_percent,gross_return_percent,net_return_percent,ending_equity_usdt,minimum_equity_usdt,account_ruined,ruin_timestamp,ruin_trade_id,trades_before_ruin,total_fees_usdt,estimated_slippage_usdt,funding_stress_cost_usdt_diagnostic,funding_stress_ending_equity_usdt_diagnostic,average_net_return_per_trade,median_net_return_per_trade,win_rate,profit_factor,max_drawdown_percent,max_drawdown_usdt,sharpe_diagnostic,long_net_return_percent_of_start,short_net_return_percent_of_start,best_trade_net_return,worst_trade_net_return,consecutive_wins_max,consecutive_losses_max,gross_positive,net_after_costs_positive,break_even_round_trip_cost_bps,ignored_signals_while_position_open,skipped_missing_entry_bar,skipped_missing_exit_bar,execution_class
30,STRATEGY_30M_RAW_Q10Q90,15051,6629,8422,27.559876950120852,124.34553696771111,-99.99999929523689,7.047631034938366e-07,7.047631034938366e-07,NO,,,15051,80.3431865419048,14.607852048036973,0.40740351614064774,6.522532279160684e-07,-0.0012340559068525598,-0.0009284447991985412,0.363763205102651,0.21974152105637243,99.99999929523689,99.99999929523689,-30.629502285997912,-39.89626512426738,-60.10373417096957,0.06657758220601076,-0.10567862535881392,9,39,YES,NO,0.5368606461204428,5901,0,0,EXECUTION_WEAK
60,STRATEGY_60M_RAW_Q10Q90,11328,4217,7111,41.48538782685124,21.051352870654007,-99.99995182330629,4.817669371332012e-05,4.782459289451779e-05,NO,,,11328,79.27350253095268,14.413364033404335,0.8579534207821021,4.2024713559338295e-05,-0.00125829992638818,-0.0009289962652992427,0.4003354519774011,0.3478076402908575,99.9999521754071,99.9999521754071,-19.027728637167247,-33.91728247223956,-66.08266935106663,0.0766701879125495,-0.11679503995062987,9,25,YES,NO,0.1686453910016935,9069,0,0,EXECUTION_WEAK
