horizon_minutes,month,trade_count,gross_return_percent,net_return_percent,profit_factor,max_drawdown_percent,max_drawdown_usdt_normalized,ending_equity_normalized_100
30,2023-06,164,-4.753145276899029,-23.05961201456579,0.25483938890140057,23.284342510165132,23.284342510165132,76.94038798543421
30,2023-07,435,-2.6106393098759173,-44.69784046630598,0.1535818796530139,44.781892568804906,44.850058835259794,55.30215953369402
30,2023-08,438,0.8730131507524996,-42.93562699723699,0.17354614415050923,43.04607937814764,43.04607937814764,57.06437300276301
30,2023-09,448,2.250778946616183,-42.90739349236217,0.17012470973432361,42.90739349236217,42.90739349236217,57.09260650763783
30,2023-10,467,-1.3528306951955171,-46.27126706293211,0.26554324756568415,46.41486390555346,46.418250735796136,53.72873293706789
30,2023-11,439,10.606077706634887,-37.510479346715734,0.4549258591407285,37.92997246467684,38.18631780630458,62.489520653284266
30,2023-12,455,11.889420319403389,-38.088937538975756,0.4332207024350633,38.85902114468579,38.85902114468579,61.911062461024244
30,2024-01,423,-4.293058083022105,-44.799992983941316,0.39141408755067836,44.94973682647974,45.07200592975854,55.200007016058684
30,2024-02,381,-19.07154576963763,-50.7166578906383,0.267731415910478,50.745983441306166,50.745983441306166,49.2833421093617
30,2024-03,394,13.159199844337932,-32.21294518550667,0.6412787151717276,33.81847772585248,34.638898057510914,67.78705481449333
30,2024-04,394,2.559784730781156,-38.56524630838647,0.5175270203643051,39.6239824154069,39.6239824154069,61.43475369161353
30,2024-05,401,11.175899976229498,-34.00731655381115,0.46762428029447073,34.00731655381115,34.00731655381115,65.99268344618885
30,2024-06,389,3.5452246051643765,-37.56674771568669,0.3255775903206033,37.57791990852786,37.57791990852786,62.43325228431331
30,2024-07,409,-1.7567398896719433,-42.293364537717736,0.40078484978076107,43.34648871256559,43.47008759461696,57.706635462282264
30,2024-08,379,13.877857787971394,-30.4382606896089,0.5950119235854505,30.649103447128546,30.74228380682831,69.5617393103911
30,2024-09,397,1.683523964361111,-39.33516234380667,0.41065679184099263,39.79310481290587,39.79310481290587,60.66483765619333
30,2024-10,412,-0.08458751935055409,-41.53810440597202,0.3911430314813718,41.53810440597202,41.53810440597202,58.46189559402798
30,2024-11,394,19.91312048681939,-28.166656717531623,0.6511343496580146,28.833673156426435,29.0780485317744,71.83334328246838
30,2024-12,405,25.91462547110044,-25.629305063976425,0.679532343858692,26.06742569169109,26.204695689786647,74.37069493602357
