timeframe,split,direction,horizon,sample_count_event,sample_count_base,sample_flag_event,sample_flag_base,reversal_rate_event,reversal_rate_base,absolute_lift,relative_lift,event_wilson_lo,event_wilson_hi
1D,DISCOVERY,OB,10,77,1125,N_30_99,N_GE_100,0.5324675324675324,0.4311111111111111,0.10135642135642131,0.23510510108448246,0.4221482516277276,0.6397010932640111
1D,DISCOVERY,OS,1,66,1125,N_30_99,N_GE_100,0.6212121212121212,0.5351111111111111,0.08610101010101012,0.1609030504379343,0.5005825419249831,0.728507284195839
1D,DISCOVERY,OS,3,66,1125,N_30_99,N_GE_100,0.6060606060606061,0.5457777777777778,0.06028282828282827,0.11045306485045892,0.48548180775863853,0.7149717900970809
1D,DISCOVERY,OS,5,66,1125,N_30_99,N_GE_100,0.6212121212121212,0.5511111111111111,0.07010101010101011,0.12719941348973607,0.5005825419249831,0.728507284195839
1D,DISCOVERY,OS,10,66,1125,N_30_99,N_GE_100,0.6060606060606061,0.5688888888888889,0.03717171717171719,0.06534090909090917,0.48548180775863853,0.7149717900970809
1D,VALIDATION,OB,1,19,374,N_LT_30,N_GE_100,0.5263157894736842,0.516042780748663,0.010273008725021127,0.019907281156258616,0.31707482511825114,0.7267049451255145
1D,VALIDATION,OB,3,19,372,N_LT_30,N_GE_100,0.47368421052631576,0.47043010752688175,0.0032541029994340165,0.006917293233082544,0.27329505487448547,0.6829251748817489
1D,VALIDATION,OB,5,19,370,N_LT_30,N_GE_100,0.5789473684210527,0.4702702702702703,0.10867709815078236,0.2310949788263763,0.36275551465160105,0.7685837960796962
1D,VALIDATION,OB,10,19,365,N_LT_30,N_GE_100,0.631578947368421,0.4438356164383562,0.18774333093006484,0.4230019493177386,0.4103915749815672,0.8085072762372616
1D,VALIDATION,OS,1,19,374,N_LT_30,N_GE_100,0.47368421052631576,0.4839572192513369,-0.010273008725021127,-0.021227100901424878,0.27329505487448547,0.6829251748817489
1D,VALIDATION,OS,3,19,372,N_LT_30,N_GE_100,0.42105263157894735,0.5295698924731183,-0.10851726089417091,-0.20491584290675924,0.2314162039203038,0.6372444853483988
1D,VALIDATION,OS,5,19,370,N_LT_30,N_GE_100,0.42105263157894735,0.5297297297297298,-0.10867709815078241,-0.20515574650913004,0.2314162039203038,0.6372444853483988
1D,VALIDATION,OS,10,18,365,N_LT_30,N_GE_100,0.3888888888888889,0.5561643835616439,-0.167275494672755,-0.3007662835249043,0.20304991926931162,0.6138133141934384
1H,DISCOVERY,OB,1,1497,26057,N_GE_100,N_GE_100,0.5230460921843687,0.4912307633265533,0.031815328857815406,0.06476656437875761,0.49771752339193265,0.5482566820138877
1H,DISCOVERY,OB,3,1497,26057,N_GE_100,N_GE_100,0.5090180360721442,0.48351690524619106,0.025501130825953178,0.05274092911595063,0.4837026617823775,0.5342872446807696
1H,DISCOVERY,OB,5,1497,26057,N_GE_100,N_GE_100,0.5130260521042084,0.48102237402617337,0.032003678078035,0.06653261845215885,0.48770487847713484,0.5382805419696332
1H,DISCOVERY,OB,10,1497,26057,N_GE_100,N_GE_100,0.48964595858383436,0.4796024101009326,0.010043548482901787,0.020941405362804755,0.46438147595148377,0.5149634462574956
1H,DISCOVERY,OS,1,1438,26057,N_GE_100,N_GE_100,0.545201668984701,0.5064282150669686,0.03877345391773246,0.07656258629390389,0.5193778641455474,0.5707846058511569
1H,DISCOVERY,OS,3,1438,26057,N_GE_100,N_GE_100,0.5556328233657858,0.5153317726522624,0.04030105071352341,0.07820408686641933,0.5298356534438231,0.5811335403982743
1H,DISCOVERY,OS,5,1438,26057,N_GE_100,N_GE_100,0.5674547983310153,0.5181333230993591,0.0493214752316562,0.09519070291913678,0.5417016187260464,0.5928485288074969
1H,DISCOVERY,OS,10,1438,26057,N_GE_100,N_GE_100,0.5493741307371349,0.5194381548144452,0.029935975922689706,0.057631453610456296,0.5235596150453031,0.5749255444895583
1H,VALIDATION,OB,1,472,8948,N_GE_100,N_GE_100,0.5402542372881356,0.503687974966473,0.0365662623216626,0.07259705241940018,0.49514820474563825,0.5847103027913237
1H,VALIDATION,OB,3,472,8946,N_GE_100,N_GE_100,0.5254237288135594,0.49586407332886207,0.0295596554846973,0.059612416133025814,0.48035041905858006,0.5700865330700275
1H,VALIDATION,OB,5,472,8944,N_GE_100,N_GE_100,0.5021186440677966,0.4991055456171735,0.0030130984506230862,0.006036996537269967,0.45717623772037635,0.5470268416236742
1H,VALIDATION,OB,10,471,8939,N_GE_100,N_GE_100,0.5116772823779193,0.5120259536860946,-0.0003486713081752857,-0.0006809641301679381,0.46662199416800815,0.5565436256934361
1H,VALIDATION,OS,1,485,8948,N_GE_100,N_GE_100,0.554639175257732,0.49564148413053194,0.05899769112720005,0.11903299666430356,0.5101488352987615,0.5982707427404235
1H,VALIDATION,OS,3,485,8946,N_GE_100,N_GE_100,0.5649484536082474,0.5036887994634474,0.06125965414480006,0.12162202973355107,0.5204863135087697,0.6083897886887518
1H,VALIDATION,OS,5,485,8944,N_GE_100,N_GE_100,0.5567010309278351,0.5001118067978533,0.0565892241299818,0.1131531456781929,0.5122148039903095,0.6002960788805428
1H,VALIDATION,OS,10,485,8939,N_GE_100,N_GE_100,0.5298969072164949,0.4877503076406757,0.04214659957581918,0.08641019578170828,0.4854163321540617,0.573907587905115
2H,DISCOVERY,OB,1,746,12921,N_GE_100,N_GE_100,0.5415549597855228,0.4871913938549648,0.05436356593055802,0.11158564501806834,0.5056769232539583,0.5770072063008703
2H,DISCOVERY,OB,3,746,12921,N_GE_100,N_GE_100,0.4959785522788204,0.4779815803730361,0.017996971905784254,0.03765201975301791,0.46021198678033437,0.5317863232627468
2H,DISCOVERY,OB,5,746,12921,N_GE_100,N_GE_100,0.47989276139410186,0.4779815803730361,0.0019111810210657443,0.003998440734001019,0.44423625707948694,0.5157552931359185
2H,DISCOVERY,OB,10,746,12921,N_GE_100,N_GE_100,0.4544235924932976,0.4739571240616051,-0.019533531568307505,-0.041213710221113864,0.4190169952434093,0.4902971852448432
2H,DISCOVERY,OS,1,737,12921,N_GE_100,N_GE_100,0.5508819538670285,0.5114929185047596,0.0393890353622689,0.07700797789618341,0.5147990053870968,0.5864372102897768
2H,DISCOVERY,OS,3,737,12921,N_GE_100,N_GE_100,0.5644504748982361,0.521167092330315,0.04328338256792108,0.08305087409565015,0.528410030822496,0.5998225090348769
2H,DISCOVERY,OS,5,737,12921,N_GE_100,N_GE_100,0.5468113975576662,0.5210896989397106,0.02572169861795559,0.04936136459863416,0.5107209328145453,0.5824163856081782
2H,DISCOVERY,OS,10,737,12921,N_GE_100,N_GE_100,0.5644504748982361,0.5255785155947682,0.03887195930346787,0.07396032781035311,0.528410030822496,0.5998225090348769
2H,VALIDATION,OB,1,244,4500,N_GE_100,N_GE_100,0.48360655737704916,0.49133333333333334,-0.007726775956284182,-0.01572613830994063,0.42164366298272593,0.5460776557950742
2H,VALIDATION,OB,3,244,4498,N_GE_100,N_GE_100,0.4959016393442623,0.5024455313472654,-0.006543892003003149,-0.013024082402437243,0.4337172784108756,0.5582130512835745
2H,VALIDATION,OB,5,244,4496,N_GE_100,N_GE_100,0.48770491803278687,0.5115658362989324,-0.023860918266145503,-0.046642908054169596,0.42566408087997964,0.5501269082033704
2H,VALIDATION,OB,10,244,4491,N_GE_100,N_GE_100,0.430327868852459,0.5021153417947005,-0.07178747294224153,-0.14297008469339545,0.369755708640759,0.4930598961648911
2H,VALIDATION,OS,1,244,4500,N_GE_100,N_GE_100,0.5409836065573771,0.5077777777777778,0.03320582877959932,0.06539441116332467,0.47830462350081776,0.6023920795546823
2H,VALIDATION,OS,3,244,4498,N_GE_100,N_GE_100,0.5409836065573771,0.49733214762116495,0.04365145893621214,0.08777123929149844,0.47830462350081776,0.6023920795546823
2H,VALIDATION,OS,5,244,4496,N_GE_100,N_GE_100,0.5286885245901639,0.48821174377224197,0.04047678081792194,0.08290824900108285,0.4660948617733403,0.5903928303655096
2H,VALIDATION,OS,10,244,4491,N_GE_100,N_GE_100,0.48360655737704916,0.4972166555332888,-0.013610098156239647,-0.02737257089998757,0.42164366298272593,0.5460776557950742
30m,DISCOVERY,OB,1,3054,52904,N_GE_100,N_GE_100,0.5412573673870335,0.49380009073037956,0.04745727665665389,0.09610625341615431,0.5235436560684005,0.5588674145377422
30m,DISCOVERY,OB,3,3054,52904,N_GE_100,N_GE_100,0.5232481990831697,0.49087025555723574,0.03237794352593393,0.06596028820116318,0.5055158966088666,0.5409220876215788
30m,DISCOVERY,OB,5,3054,52904,N_GE_100,N_GE_100,0.5248853962017027,0.48710872523816723,0.037776670963535486,0.07755285217907959,0.5071538297996033,0.5425544350104511
30m,DISCOVERY,OB,10,3054,52904,N_GE_100,N_GE_100,0.5111329404060249,0.48003931649780734,0.031093623908217516,0.06477307762011097,0.49340110330150844,0.5288368046398315
30m,DISCOVERY,OS,1,3032,52904,N_GE_100,N_GE_100,0.5686015831134564,0.5034969000453652,0.06510468306809125,0.12930503258753978,0.5508964292354811,0.586133118024165
30m,DISCOVERY,OS,3,3032,52904,N_GE_100,N_GE_100,0.5587071240105541,0.5073340390140632,0.05137308499649096,0.10126086768458853,0.5409693693452753,0.5762963009057682
30m,DISCOVERY,OS,5,3032,52904,N_GE_100,N_GE_100,0.5692612137203166,0.5113034931196129,0.0579577206007037,0.11335287433122465,0.5515584870769242,0.5867886519832953
30m,DISCOVERY,OS,10,3032,52904,N_GE_100,N_GE_100,0.5616754617414248,0.5191667926810827,0.04250866906034212,0.08187863642206139,0.5439467391557313,0.5792480941978928
30m,VALIDATION,OB,1,972,17954,N_GE_100,N_GE_100,0.5627572016460906,0.49415172106494376,0.0686054805811468,0.13883485103177517,0.5313856759504294,0.5936346142278126
30m,VALIDATION,OB,3,972,17952,N_GE_100,N_GE_100,0.551440329218107,0.49721479500891264,0.054225534209194404,0.10905856936180358,0.5200320521710226,0.5824435955160613
30m,VALIDATION,OB,5,972,17950,N_GE_100,N_GE_100,0.5349794238683128,0.5006685236768802,0.03431090019143257,0.06853017229734215,0.5035467000318422,0.5661367403953746
30m,VALIDATION,OB,10,972,17945,N_GE_100,N_GE_100,0.5216049382716049,0.5000278629144609,0.021577075357144038,0.043151746047470185,0.49017748971942804,0.5528622823091471
30m,VALIDATION,OS,1,982,17954,N_GE_100,N_GE_100,0.6018329938900203,0.5044001336749471,0.09743286021507325,0.19316580966225994,0.5708757237420929,0.6319966241077035
30m,VALIDATION,OS,3,982,17952,N_GE_100,N_GE_100,0.5743380855397149,0.5022281639928698,0.07210992154684503,0.1435800035058743,0.5431818752941545,0.604914938636197
30m,VALIDATION,OS,5,982,17950,N_GE_100,N_GE_100,0.5743380855397149,0.49899721448467965,0.07534087105503523,0.1509845523543465,0.5431818752941545,0.604914938636197
30m,VALIDATION,OS,10,982,17945,N_GE_100,N_GE_100,0.554989816700611,0.49941487879632207,0.05557493790428891,0.11128010050127934,0.5237520660180865,0.5857990018208035
4H,DISCOVERY,OB,1,411,6584,N_GE_100,N_GE_100,0.5182481751824818,0.48253341433778857,0.035714760844693216,0.07401510399794153,0.4699954566228479,0.5661629228646481
4H,DISCOVERY,OB,3,411,6584,N_GE_100,N_GE_100,0.4720194647201946,0.4746354799513973,-0.002616015231202695,-0.005511630170316306,0.4242377848863867,0.5203193665661197
4H,DISCOVERY,OB,5,411,6584,N_GE_100,N_GE_100,0.45498783454987834,0.4681044957472661,-0.013116661197387747,-0.028020797314601165,0.40748273082305997,0.5033265997744502
4H,DISCOVERY,OB,10,411,6584,N_GE_100,N_GE_100,0.4720194647201946,0.46339611178614826,0.008623352934046369,0.018609031700347778,0.4242377848863867,0.5203193665661197
