timeframe,split,direction,horizon,sample_count_event,sample_count_base,sample_flag_event,sample_flag_base,reversal_rate_event,reversal_rate_base,absolute_lift,relative_lift,event_wilson_lo,event_wilson_hi
8H,DISCOVERY,OS,5,174,3375,N_GE_100,N_GE_100,0.5344827586206896,0.5413333333333333,-0.00685057471264372,-0.012655002547987126,0.46042226268372766,0.6070535135126177
8H,DISCOVERY,OS,10,174,3375,N_GE_100,N_GE_100,0.5747126436781609,0.5478518518518518,0.02686079182630907,0.04902929822271118,0.5004190615012116,0.6457784535908702
8H,VALIDATION,OB,1,65,1124,N_30_99,N_GE_100,0.4153846153846154,0.48576512455516013,-0.07038050917054472,-0.1448858833474217,0.3036005547380231,0.5366123397908664
8H,VALIDATION,OB,3,65,1122,N_30_99,N_GE_100,0.47692307692307695,0.5089126559714795,-0.03198957904840255,-0.06285868247339343,0.36021590253064156,0.5962057959772373
8H,VALIDATION,OB,5,65,1120,N_30_99,N_GE_100,0.4,0.5017857142857143,-0.10178571428571426,-0.20284697508896787,0.28971847853161004,0.5214422150025321
8H,VALIDATION,OB,10,65,1115,N_30_99,N_GE_100,0.36923076923076925,0.47533632286995514,-0.10610555363918589,-0.22322206095790997,0.26229222189067253,0.49076406965397484
8H,VALIDATION,OS,1,63,1124,N_30_99,N_GE_100,0.5555555555555556,0.5142348754448398,0.04132068011071577,0.08035371011149572,0.4331942064087128,0.6715309946636732
8H,VALIDATION,OS,3,63,1122,N_30_99,N_GE_100,0.5873015873015873,0.49019607843137253,0.0971055088702148,0.1980952380952381,0.4641509535181111,0.7004172195956385
8H,VALIDATION,OS,5,63,1120,N_30_99,N_GE_100,0.5396825396825397,0.4982142857142857,0.04146825396825393,0.08323377140581445,0.41789036921596123,0.656913345835743
8H,VALIDATION,OS,10,63,1115,N_30_99,N_GE_100,0.5079365079365079,0.5246636771300448,-0.016727169193536895,-0.0318816985483652,0.38762677115387556,0.6273339718564653
